"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Lubelskie",6,0.2,0,0,6,100,0,0,"1-7","luty","2022","5","2A"
"Lubuskie",0,0,0,0,0,0,0,0,"1-7","luty","2022","5","2A"
"Łódzkie",4,0.1,0,0,4,100,0,0,"1-7","luty","2022","5","2A"
"Małopolskie",15,0.21,0,0,10,66.7,5,33.3,"1-7","luty","2022","5","2A"
"Mazowieckie",8,0.06,2,25,6,75,0,0,"1-7","luty","2022","5","2A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","luty","2022","5","2A"
"Podkarpackie",3,0.24,0,0,3,100,0,0,"1-7","luty","2022","5","2A"
"Podlaskie",1,0.07,0,0,1,100,0,0,"1-7","luty","2022","5","2A"
"Pomorskie",15,0.1,0,0,13,86.7,2,13.3,"1-7","luty","2022","5","2A"
"Śląskie",15,0.16,0,0,14,93.3,1,6.7,"1-7","luty","2022","5","2A"
"Świętokrzyskie",5,0.19,0,0,5,100,0,0,"1-7","luty","2022","5","2A"
"Warmińsko-Mazurskie",13,0.85,0,0,13,100,0,0,"1-7","luty","2022","5","2A"
"Wielkopolskie",24,0.18,1,4.2,23,95.8,0,0,"1-7","luty","2022","5","2A"
"Zachodniopomorskie",1,0.13,0,0,1,100,0,0,"1-7","luty","2022","5","2A"
"Dolnośląskie",26,0.6,0,0,26,100,0,0,"8-15","luty","2022","6","2B"
"Kujawsko-Pomorskie",14,0.25,0,0,14,100,0,0,"8-15","luty","2022","6","2B"
"Lubelskie",1,0.03,0,0,1,100,0,0,"8-15","luty","2022","6","2B"
"Lubuskie",2,0.24,0,0,2,100,0,0,"8-15","luty","2022","6","2B"
"Łódzkie",6,0.16,0,0,6,100,0,0,"8-15","luty","2022","6","2B"
"Małopolskie",10,0.16,0,0,10,100,0,0,"8-15","luty","2022","6","2B"
"Mazowieckie",15,0.11,1,6.7,14,93.3,0,0,"8-15","luty","2022","6","2B"
"Opolskie",3,0.3,0,0,3,100,0,0,"8-15","luty","2022","6","2B"
"Podkarpackie",4,0.22,0,0,2,50,2,50,"8-15","luty","2022","6","2B"
"Podlaskie",2,0.22,0,0,2,100,0,0,"8-15","luty","2022","6","2B"
"Pomorskie",2,0.01,0,0,2,100,0,0,"8-15","luty","2022","6","2B"
"Śląskie",17,0.2,0,0,17,100,0,0,"8-15","luty","2022","6","2B"
"Świętokrzyskie",6,0.39,0,0,6,100,0,0,"8-15","luty","2022","6","2B"
"Warmińsko-Mazurskie",12,0.51,0,0,12,100,0,0,"8-15","luty","2022","6","2B"
"Wielkopolskie",15,0.13,1,6.7,14,93.3,0,0,"8-15","luty","2022","6","2B"
"Zachodniopomorskie",1,0.14,0,0,1,100,0,0,"8-15","luty","2022","6","2B"
"Dolnośląskie",17,0.43,0,0,17,100,0,0,"16-22","luty","2022","7","2C"
"Kujawsko-Pomorskie",5,0.11,0,0,5,100,0,0,"16-22","luty","2022","7","2C"
"Lubelskie",1,0.05,0,0,0,0,1,100,"16-22","luty","2022","7","2C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","luty","2022","7","2C"
"Łódzkie",7,0.3,0,0,7,100,0,0,"16-22","luty","2022","7","2C"
"Małopolskie",10,0.18,0,0,8,80,2,20,"16-22","luty","2022","7","2C"
"Mazowieckie",8,0.08,0,0,6,75,2,25,"16-22","luty","2022","7","2C"
"Opolskie",2,0.27,0,0,2,100,0,0,"16-22","luty","2022","7","2C"
"Podkarpackie",1,0.12,0,0,1,100,0,0,"16-22","luty","2022","7","2C"
"Podlaskie",1,0.12,0,0,1,100,0,0,"16-22","luty","2022","7","2C"
"Pomorskie",21,0.21,2,9.5,19,90.5,0,0,"16-22","luty","2022","7","2C"
"Śląskie",16,0.27,0,0,14,87.5,2,12.5,"16-22","luty","2022","7","2C"
"Świętokrzyskie",4,0.42,0,0,4,100,0,0,"16-22","luty","2022","7","2C"
"Warmińsko-Mazurskie",14,0.79,0,0,14,100,0,0,"16-22","luty","2022","7","2C"
"Wielkopolskie",27,0.23,0,0,27,100,0,0,"16-22","luty","2022","7","2C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","luty","2022","7","2C"
"Dolnośląskie",3,0.13,0,0,3,100,0,0,"23-28","luty","2022","8","2D"
