"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Lubuskie",16,1.65,0,0,16,100,3,18.8,"16-22","maj","2022","19","5C"
"Łódzkie",22,0.84,0,0,22,100,0,0,"16-22","maj","2022","19","5C"
"Małopolskie",24,0.37,0,0,21,87.5,3,12.5,"16-22","maj","2022","19","5C"
"Mazowieckie",14,0.11,0,0,13,92.9,1,7.1,"16-22","maj","2022","19","5C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","maj","2022","19","5C"
"Podkarpackie",7,0.69,0,0,7,100,0,0,"16-22","maj","2022","19","5C"
"Podlaskie",4,0.38,0,0,4,100,1,25,"16-22","maj","2022","19","5C"
"Pomorskie",67,0.44,11,16.4,47,70.1,19,28.4,"16-22","maj","2022","19","5C"
"Śląskie",25,0.4,0,0,25,100,0,0,"16-22","maj","2022","19","5C"
"Świętokrzyskie",1,0.05,0,0,1,100,0,0,"16-22","maj","2022","19","5C"
"Warmińsko-Mazurskie",12,0.91,0,0,12,100,0,0,"16-22","maj","2022","19","5C"
"Wielkopolskie",46,0.45,0,0,43,93.5,3,6.5,"16-22","maj","2022","19","5C"
"Zachodniopomorskie",15,1.33,0,0,14,93.3,1,6.7,"16-22","maj","2022","19","5C"
"Dolnośląskie",92,1.99,1,1.1,65,70.7,26,28.3,"23-31","maj","2022","20","5D"
"Kujawsko-Pomorskie",33,0.53,0,0,33,100,0,0,"23-31","maj","2022","20","5D"
"Lubelskie",9,0.33,0,0,8,88.9,1,11.1,"23-31","maj","2022","20","5D"
"Lubuskie",11,1.02,0,0,11,100,1,9.1,"23-31","maj","2022","20","5D"
"Łódzkie",31,0.78,0,0,31,100,0,0,"23-31","maj","2022","20","5D"
"Małopolskie",21,0.25,0,0,18,85.7,3,14.3,"23-31","maj","2022","20","5D"
"Mazowieckie",20,0.12,0,0,20,100,0,0,"23-31","maj","2022","20","5D"
"Opolskie",2,0.21,0,0,2,100,0,0,"23-31","maj","2022","20","5D"
"Podkarpackie",11,0.9,0,0,11,100,0,0,"23-31","maj","2022","20","5D"
"Podlaskie",13,1.05,1,7.7,12,92.3,1,7.7,"23-31","maj","2022","20","5D"
"Pomorskie",48,0.23,1,2.1,41,85.4,6,12.5,"23-31","maj","2022","20","5D"
"Śląskie",54,0.63,1,1.9,44,81.5,9,16.7,"23-31","maj","2022","20","5D"
"Świętokrzyskie",9,0.81,0,0,9,100,0,0,"23-31","maj","2022","20","5D"
"Warmińsko-Mazurskie",25,1.32,0,0,24,96,1,4,"23-31","maj","2022","20","5D"
"Wielkopolskie",46,0.31,0,0,45,97.8,1,2.2,"23-31","maj","2022","20","5D"
"Zachodniopomorskie",8,0.69,0,0,7,87.5,2,25,"23-31","maj","2022","20","5D"
"Dolnośląskie",19,0.56,0,0,18,94.7,1,5.3,"1-7","czerwiec","2022","21","6A"
"Kujawsko-Pomorskie",36,0.77,1,2.8,35,97.2,1,2.8,"1-7","czerwiec","2022","21","6A"
"Lubelskie",3,0.12,0,0,2,66.7,1,33.3,"1-7","czerwiec","2022","21","6A"
"Lubuskie",6,1.34,0,0,5,83.3,1,16.7,"1-7","czerwiec","2022","21","6A"
"Łódzkie",11,0.55,0,0,11,100,0,0,"1-7","czerwiec","2022","21","6A"
"Małopolskie",8,0.15,0,0,7,87.5,1,12.5,"1-7","czerwiec","2022","21","6A"
"Mazowieckie",16,0.1,0,0,15,93.8,1,6.3,"1-7","czerwiec","2022","21","6A"
"Opolskie",1,0.12,0,0,1,100,0,0,"1-7","czerwiec","2022","21","6A"
"Podkarpackie",3,0.31,0,0,2,66.7,1,33.3,"1-7","czerwiec","2022","21","6A"
"Podlaskie",2,0.25,0,0,2,100,0,0,"1-7","czerwiec","2022","21","6A"
"Pomorskie",49,0.35,1,2,46,93.9,2,4.1,"1-7","czerwiec","2022","21","6A"
"Śląskie",20,0.31,0,0,18,90,2,10,"1-7","czerwiec","2022","21","6A"
"Świętokrzyskie",13,0.67,2,15.4,11,84.6,0,0,"1-7","czerwiec","2022","21","6A"
"Warmińsko-Mazurskie",11,0.7,0,0,11,100,0,0,"1-7","czerwiec","2022","21","6A"
"Wielkopolskie",61,0.57,0,0,60,98.4,2,3.3,"1-7","czerwiec","2022","21","6A"
"Zachodniopomorskie",7,0.48,0,0,6,85.7,2,28.6,"1-7","czerwiec","2022","21","6A"
"Dolnośląskie",19,0.6,1,5.3,19,100,0,0,"8-15","czerwiec","2022","22","6B"
"Kujawsko-Pomorskie",37,0.75,0,0,36,97.3,1,2.7,"8-15","czerwiec","2022","22","6B"
"Lubelskie",2,0.08,0,0,2,100,0,0,"8-15","czerwiec","2022","22","6B"
"Lubuskie",9,0.94,0,0,8,88.9,1,11.1,"8-15","czerwiec","2022","22","6B"
"Łódzkie",19,0.55,0,0,19,100,0,0,"8-15","czerwiec","2022","22","6B"
"Małopolskie",14,0.21,0,0,14,100,1,7.1,"8-15","czerwiec","2022","22","6B"
"Mazowieckie",25,0.22,0,0,24,96,1,4,"8-15","czerwiec","2022","22","6B"
"Opolskie",3,0.31,0,0,3,100,0,0,"8-15","czerwiec","2022","22","6B"
"Podkarpackie",3,0.37,0,0,2,66.7,1,33.3,"8-15","czerwiec","2022","22","6B"
"Podlaskie",3,0.35,0,0,3,100,0,0,"8-15","czerwiec","2022","22","6B"
"Pomorskie",70,0.51,12,17.1,60,85.7,9,12.9,"8-15","czerwiec","2022","22","6B"
"Śląskie",19,0.37,0,0,19,100,0,0,"8-15","czerwiec","2022","22","6B"
"Świętokrzyskie",1,0.04,0,0,0,0,1,100,"8-15","czerwiec","2022","22","6B"
"Warmińsko-Mazurskie",13,0.9,0,0,12,92.3,1,7.7,"8-15","czerwiec","2022","22","6B"
"Wielkopolskie",46,0.44,0,0,45,97.8,1,2.2,"8-15","czerwiec","2022","22","6B"
"Zachodniopomorskie",5,0.76,0,0,5,100,0,0,"8-15","czerwiec","2022","22","6B"
"Dolnośląskie",42,1.58,2,4.8,30,71.4,11,26.2,"16-22","czerwiec","2022","23","6C"
"Kujawsko-Pomorskie",17,0.5,0,0,17,100,0,0,"16-22","czerwiec","2022","23","6C"
"Lubelskie",3,0.17,0,0,3,100,0,0,"16-22","czerwiec","2022","23","6C"
"Lubuskie",5,1.57,0,0,4,80,1,20,"16-22","czerwiec","2022","23","6C"
"Łódzkie",8,0.48,0,0,8,100,0,0,"16-22","czerwiec","2022","23","6C"
"Małopolskie",15,0.34,0,0,12,80,3,20,"16-22","czerwiec","2022","23","6C"
"Mazowieckie",15,0.12,1,6.7,12,80,2,13.3,"16-22","czerwiec","2022","23","6C"
"Opolskie",1,0.21,0,0,1,100,0,0,"16-22","czerwiec","2022","23","6C"
"Podkarpackie",4,0.76,2,50,2,50,0,0,"16-22","czerwiec","2022","23","6C"
"Podlaskie",1,0.23,0,0,1,100,0,0,"16-22","czerwiec","2022","23","6C"
"Pomorskie",32,0.28,0,0,32,100,0,0,"16-22","czerwiec","2022","23","6C"
"Śląskie",12,0.18,5,41.7,7,58.3,0,0,"16-22","czerwiec","2022","23","6C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","czerwiec","2022","23","6C"
"Warmińsko-Mazurskie",17,1.78,0,0,17,100,0,0,"16-22","czerwiec","2022","23","6C"
"Wielkopolskie",40,0.46,0,0,39,97.5,1,2.5,"16-22","czerwiec","2022","23","6C"
"Zachodniopomorskie",3,0.28,0,0,3,100,0,0,"16-22","czerwiec","2022","23","6C"
"Dolnośląskie",9,0.36,0,0,8,88.9,1,11.1,"23-30","czerwiec","2022","24","6D"
"Kujawsko-Pomorskie",18,0.41,0,0,18,100,0,0,"23-30","czerwiec","2022","24","6D"
"Lubelskie",0,0,0,0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Lubuskie",7,1.32,1,14.3,6,85.7,0,0,"23-30","czerwiec","2022","24","6D"
"Łódzkie",2,0.11,0,0,2,100,0,0,"23-30","czerwiec","2022","24","6D"
"Małopolskie",5,0.1,0,0,5,100,0,0,"23-30","czerwiec","2022","24","6D"
"Mazowieckie",10,0.08,0,0,10,100,0,0,"23-30","czerwiec","2022","24","6D"
"Opolskie",0,0,0,0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Podkarpackie",3,0.67,1,33.3,2,66.7,0,0,"23-30","czerwiec","2022","24","6D"
"Podlaskie",1,0.19,0,0,1,100,0,0,"23-30","czerwiec","2022","24","6D"
"Pomorskie",48,0.23,1,2.1,41,85.4,6,12.5,"23-30","czerwiec","2022","24","6D"
"Śląskie",20,0.39,0,0,20,100,0,0,"23-30","czerwiec","2022","24","6D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-30","czerwiec","2022","24","6D"
"Warmińsko-Mazurskie",8,0.72,0,0,8,100,0,0,"23-30","czerwiec","2022","24","6D"
"Wielkopolskie",38,0.48,0,0,37,97.4,1,2.6,"23-30","czerwiec","2022","24","6D"
"Zachodniopomorskie",4,0.44,0,0,4,100,0,0,"23-30","czerwiec","2022","24","6D"
"Dolnośląskie",19,0.79,0,0,12,63.2,7,36.8,"1-7","lipiec","2022","25","7A"
"Kujawsko-Pomorskie",11,0.34,1,9.1,10,90.9,0,0,"1-7","lipiec","2022","25","7A"
"Lubelskie",4,0.15,0,0,4,100,0,0,"1-7","lipiec","2022","25","7A"
"Lubuskie",3,0.69,0,0,3,100,0,0,"1-7","lipiec","2022","25","7A"
"Łódzkie",1,0.06,0,0,1,100,0,0,"1-7","lipiec","2022","25","7A"
"Małopolskie",6,0.14,0,0,4,66.7,2,33.3,"1-7","lipiec","2022","25","7A"
"Mazowieckie",15,0.14,0,0,15,100,0,0,"1-7","lipiec","2022","25","7A"
"Opolskie",1,0.17,0,0,1,100,0,0,"1-7","lipiec","2022","25","7A"
"Podkarpackie",1,0.24,0,0,1,100,0,0,"1-7","lipiec","2022","25","7A"
"Podlaskie",0,0,0,0,0,0,0,0,"1-7","lipiec","2022","25","7A"
"Pomorskie",53,0.56,18,34,50,94.3,1,1.9,"1-7","lipiec","2022","25","7A"
"Śląskie",6,0.14,0,0,6,100,0,0,"1-7","lipiec","2022","25","7A"
"Świętokrzyskie",6,0.38,0,0,6,100,0,0,"1-7","lipiec","2022","25","7A"
"Warmińsko-Mazurskie",6,0.76,0,0,6,100,0,0,"1-7","lipiec","2022","25","7A"
"Wielkopolskie",30,0.37,0,0,30,100,0,0,"1-7","lipiec","2022","25","7A"
"Zachodniopomorskie",3,0.28,0,0,3,100,0,0,"1-7","lipiec","2022","25","7A"
"Dolnośląskie",25,1.01,0,0,13,52,12,48,"8-15","lipiec","2022","26","7B"
"Kujawsko-Pomorskie",14,0.4,0,0,14,100,0,0,"8-15","lipiec","2022","26","7B"
"Lubelskie",3,0.16,0,0,3,100,0,0,"8-15","lipiec","2022","26","7B"
"Lubuskie",0,0,0,0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Łódzkie",2,0.14,0,0,2,100,0,0,"8-15","lipiec","2022","26","7B"
"Małopolskie",2,0.05,0,0,1,50,1,50,"8-15","lipiec","2022","26","7B"
"Mazowieckie",8,0.08,0,0,6,75,2,25,"8-15","lipiec","2022","26","7B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Podkarpackie",2,0.37,0,0,2,100,0,0,"8-15","lipiec","2022","26","7B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","lipiec","2022","26","7B"
"Pomorskie",71,0.68,17,23.9,52,73.2,16,22.5,"8-15","lipiec","2022","26","7B"
"Śląskie",12,0.22,0,0,9,75,3,25,"8-15","lipiec","2022","26","7B"
"Świętokrzyskie",2,0.18,0,0,2,100,0,0,"8-15","lipiec","2022","26","7B"
"Warmińsko-Mazurskie",7,0.64,0,0,7,100,0,0,"8-15","lipiec","2022","26","7B"
"Wielkopolskie",32,0.36,1,3.1,30,93.8,1,3.1,"8-15","lipiec","2022","26","7B"
"Zachodniopomorskie",1,0.13,0,0,1,100,0,0,"8-15","lipiec","2022","26","7B"
"Dolnośląskie",48,2.16,0,0,48,100,0,0,"16-22","lipiec","2022","27","7C"
"Kujawsko-Pomorskie",12,0.49,0,0,12,100,0,0,"16-22","lipiec","2022","27","7C"
"Lubelskie",3,0.19,1,33.3,2,66.7,0,0,"16-22","lipiec","2022","27","7C"
"Lubuskie",3,0.57,0,0,3,100,0,0,"16-22","lipiec","2022","27","7C"
"Łódzkie",6,0.43,0,0,6,100,0,0,"16-22","lipiec","2022","27","7C"
"Małopolskie",12,0.38,0,0,11,91.7,1,8.3,"16-22","lipiec","2022","27","7C"
"Mazowieckie",10,0.1,2,20,6,60,2,20,"16-22","lipiec","2022","27","7C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Podkarpackie",1,0.24,0,0,1,100,0,0,"16-22","lipiec","2022","27","7C"
"Podlaskie",1,0.26,0,0,1,100,0,0,"16-22","lipiec","2022","27","7C"
"Pomorskie",27,0.35,1,3.7,26,96.3,0,0,"16-22","lipiec","2022","27","7C"
"Śląskie",7,0.17,0,0,5,71.4,2,28.6,"16-22","lipiec","2022","27","7C"
"Świętokrzyskie",5,0.3,2,40,3,60,0,0,"16-22","lipiec","2022","27","7C"
"Warmińsko-Mazurskie",10,1.58,0,0,10,100,0,0,"16-22","lipiec","2022","27","7C"
"Wielkopolskie",12,0.18,0,0,12,100,0,0,"16-22","lipiec","2022","27","7C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","lipiec","2022","27","7C"
"Dolnośląskie",46,2.18,0,0,46,100,0,0,"23-31","lipiec","2022","28","7D"
"Kujawsko-Pomorskie",17,0.65,0,0,17,100,0,0,"23-31","lipiec","2022","28","7D"
"Lubelskie",2,0.14,0,0,2,100,0,0,"23-31","lipiec","2022","28","7D"
"Lubuskie",3,1,0,0,3,100,0,0,"23-31","lipiec","2022","28","7D"
"Łódzkie",1,0.1,0,0,1,100,0,0,"23-31","lipiec","2022","28","7D"
"Małopolskie",6,0.18,0,0,4,66.7,2,33.3,"23-31","lipiec","2022","28","7D"
"Mazowieckie",11,0.15,0,0,9,81.8,2,18.2,"23-31","lipiec","2022","28","7D"
"Opolskie",0,0,0,0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Podkarpackie",0,0,0,0,0,0,0,0,"23-31","lipiec","2022","28","7D"
"Podlaskie",2,0.5,0,0,2,100,0,0,"23-31","lipiec","2022","28","7D"
"Pomorskie",40,0.53,4,10,40,100,0,0,"23-31","lipiec","2022","28","7D"
"Śląskie",8,0.17,1,12.5,7,87.5,0,0,"23-31","lipiec","2022","28","7D"
"Świętokrzyskie",3,0.45,0,0,3,100,0,0,"23-31","lipiec","2022","28","7D"
"Warmińsko-Mazurskie",15,2.29,0,0,15,100,0,0,"23-31","lipiec","2022","28","7D"
"Wielkopolskie",25,0.43,1,4,24,96,0,0,"23-31","lipiec","2022","28","7D"
"Zachodniopomorskie",5,0.63,20,0,4,80,0,0,"23-31","lipiec","2022","28","7D"
"Dolnośląskie",24,1.22,1,4.2,22,91.7,1,4.2,"1-7","sierpień","2022","29","8A"
"Kujawsko-Pomorskie",15,0.59,0,0,15,100,0,0,"1-7","sierpień","2022","29","8A"
"Lubelskie",2,0.15,0,0,2,100,0,0,"1-7","sierpień","2022","29","8A"
"Lubuskie",4,1.32,0,0,4,100,0,0,"1-7","sierpień","2022","29","8A"
"Łódzkie",2,0.18,0,0,2,100,0,0,"1-7","sierpień","2022","29","8A"
"Małopolskie",6,0.21,0,0,6,100,0,0,"1-7","sierpień","2022","29","8A"
"Mazowieckie",6,0.07,2,33.3,4,66.7,0,0,"1-7","sierpień","2022","29","8A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Podkarpackie",0,0,0,0,0,0,0,0,"1-7","sierpień","2022","29","8A"
"Podlaskie",4,0.85,0,0,3,75,1,25,"1-7","sierpień","2022","29","8A"
"Pomorskie",47,0.47,1,2.1,46,97.9,0,0,"1-7","sierpień","2022","29","8A"
"Śląskie",8,0.2,0,0,8,100,0,0,"1-7","sierpień","2022","29","8A"
"Świętokrzyskie",4,0.33,0,0,4,100,0,0,"1-7","sierpień","2022","29","8A"
"Warmińsko-Mazurskie",8,1.3,0,0,8,100,0,0,"1-7","sierpień","2022","29","8A"
"Wielkopolskie",19,0.34,0,0,19,100,0,0,"1-7","sierpień","2022","29","8A"
"Zachodniopomorskie",4,0.65,0,0,4,100,0,0,"1-7","sierpień","2022","29","8A"
"Dolnośląskie",6,0.31,0,0,6,100,0,0,"8-15","sierpień","2022","30","8B"
"Kujawsko-Pomorskie",14,0.56,0,0,14,100,0,0,"8-15","sierpień","2022","30","8B"
"Lubelskie",1,0.08,0,0,1,100,0,0,"8-15","sierpień","2022","30","8B"
"Lubuskie",0,0,0,0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Łódzkie",4,0.37,0,0,4,100,0,0,"8-15","sierpień","2022","30","8B"
"Małopolskie",7,0.24,0,0,6,85.7,1,14.3,"8-15","sierpień","2022","30","8B"
"Mazowieckie",7,0.11,4,57.1,2,28.6,1,14.3,"8-15","sierpień","2022","30","8B"
"Opolskie",3,0.5,0,0,3,100,0,0,"8-15","sierpień","2022","30","8B"
"Podkarpackie",0,0,0,0,0,0,0,0,"8-15","sierpień","2022","30","8B"
"Podlaskie",1,0.33,0,0,1,100,0,0,"8-15","sierpień","2022","30","8B"
"Pomorskie",19,0.27,0,0,19,100,0,0,"8-15","sierpień","2022","30","8B"
"Śląskie",20,0.56,1,5,13,65,6,30,"8-15","sierpień","2022","30","8B"
"Świętokrzyskie",1,0.14,0,0,1,100,0,0,"8-15","sierpień","2022","30","8B"
"Warmińsko-Mazurskie",6,0.87,0,0,6,100,0,0,"8-15","sierpień","2022","30","8B"
"Wielkopolskie",25,0.41,0,0,25,100,0,0,"8-15","sierpień","2022","30","8B"
"Zachodniopomorskie",3,0.51,0,0,3,100,0,0,"8-15","sierpień","2022","30","8B"
"Dolnośląskie",6,0.26,1,16.7,5,83.3,0,0,"16-22","sierpień","2022","31","8C"
"Kujawsko-Pomorskie",19,0.83,0,0,19,100,0,0,"16-22","sierpień","2022","31","8C"
"Lubelskie",2,0.21,0,0,2,100,0,0,"16-22","sierpień","2022","31","8C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Łódzkie",3,0.37,0,0,3,100,0,0,"16-22","sierpień","2022","31","8C"
"Małopolskie",4,0.13,0,0,4,100,0,0,"16-22","sierpień","2022","31","8C"
"Mazowieckie",8,0.11,1,12.5,6,75,1,12.5,"16-22","sierpień","2022","31","8C"
"Opolskie",3,0.69,0,0,3,100,0,0,"16-22","sierpień","2022","31","8C"
"Podkarpackie",3,0.62,0,0,3,100,0,0,"16-22","sierpień","2022","31","8C"
"Podlaskie",0,0,0,0,0,0,0,0,"16-22","sierpień","2022","31","8C"
"Pomorskie",112,1.62,44,39.3,81,72.3,29,25.9,"16-22","sierpień","2022","31","8C"
"Śląskie",14,0.32,0,0,13,92.9,1,7.1,"16-22","sierpień","2022","31","8C"
"Świętokrzyskie",1,0.12,0,0,1,100,0,0,"16-22","sierpień","2022","31","8C"
"Warmińsko-Mazurskie",4,0.59,0,0,4,100,0,0,"16-22","sierpień","2022","31","8C"
"Wielkopolskie",12,0.18,0,0,12,100,0,0,"16-22","sierpień","2022","31","8C"
"Zachodniopomorskie",3,0.75,0,0,3,100,1,33.3,"16-22","sierpień","2022","31","8C"
"Dolnośląskie",66,2.35,0,0,47,71.2,19,28.8,"23-31","sierpień","2022","32","8D"
"Kujawsko-Pomorskie",11,0.39,0,0,11,100,0,0,"23-31","sierpień","2022","32","8D"
"Lubelskie",0,0,0,0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Lubuskie",1,0.22,0,0,1,100,0,0,"23-31","sierpień","2022","32","8D"
"Łódzkie",2,0.15,0,0,2,100,0,0,"23-31","sierpień","2022","32","8D"
"Małopolskie",16,0.47,0,0,11,68.8,5,31.3,"23-31","sierpień","2022","32","8D"
"Mazowieckie",6,0.08,0,0,5,83.3,1,16.7,"23-31","sierpień","2022","32","8D"
"Opolskie",0,0,0,0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Podkarpackie",1,0.2,0,0,1,100,0,0,"23-31","sierpień","2022","32","8D"
"Podlaskie",4,0.72,0,0,4,100,0,0,"23-31","sierpień","2022","32","8D"
"Pomorskie",11,0.13,0,0,11,100,0,0,"23-31","sierpień","2022","32","8D"
"Śląskie",14,0.31,0,0,14,100,0,0,"23-31","sierpień","2022","32","8D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-31","sierpień","2022","32","8D"
"Warmińsko-Mazurskie",10,1.29,0,0,10,100,0,0,"23-31","sierpień","2022","32","8D"
"Wielkopolskie",14,0.19,0,0,14,100,0,0,"23-31","sierpień","2022","32","8D"
"Zachodniopomorskie",5,0.69,0,0,4,80,1,20,"23-31","sierpień","2022","32","8D"
"Dolnośląskie",21,0.73,0,0,19,90.5,2,9.5,"1-7","wrzesień","2022","33","9A"
"Kujawsko-Pomorskie",10,0.39,0,0,10,100,0,0,"1-7","wrzesień","2022","33","9A"
"Lubelskie",1,0.08,0,0,1,100,0,0,"1-7","wrzesień","2022","33","9A"
"Lubuskie",4,0.86,0,0,4,100,0,0,"1-7","wrzesień","2022","33","9A"
"Łódzkie",2,0.17,0,0,2,100,0,0,"1-7","wrzesień","2022","33","9A"
"Małopolskie",10,0.28,0,0,9,90,1,10,"1-7","wrzesień","2022","33","9A"
"Mazowieckie",5,0.06,0,0,5,100,0,0,"1-7","wrzesień","2022","33","9A"
"Opolskie",1,0.16,0,0,1,100,0,0,"1-7","wrzesień","2022","33","9A"
"Podkarpackie",0,0,0,0,0,0,0,0,"1-7","wrzesień","2022","33","9A"
"Podlaskie",1,0.16,0,0,1,100,0,0,"1-7","wrzesień","2022","33","9A"
"Pomorskie",64,0.78,21,32.8,58,90.6,2,3.1,"1-7","wrzesień","2022","33","9A"
"Śląskie",3,0.06,1,33.3,2,66.7,0,0,"1-7","wrzesień","2022","33","9A"
"Świętokrzyskie",5,0.62,0,0,5,100,0,0,"1-7","wrzesień","2022","33","9A"
"Warmińsko-Mazurskie",2,0.32,0,0,2,100,0,0,"1-7","wrzesień","2022","33","9A"
"Wielkopolskie",25,0.34,0,0,25,100,0,0,"1-7","wrzesień","2022","33","9A"
"Zachodniopomorskie",1,0.24,100,0,0,0,0,0,"1-7","wrzesień","2022","33","9A"
"Dolnośląskie",19,0.51,0,0,8,42.1,11,57.9,"8-15","wrzesień","2022","34","9B"
"Kujawsko-Pomorskie",33,0.53,0,0,33,100,0,0,"8-15","wrzesień","2022","34","9B"
"Lubelskie",1,0.03,0,0,1,100,0,0,"8-15","wrzesień","2022","34","9B"
"Lubuskie",1,0.16,0,0,1,100,0,0,"8-15","wrzesień","2022","34","9B"
"Łódzkie",8,0.41,0,0,8,100,0,0,"8-15","wrzesień","2022","34","9B"
"Małopolskie",11,0.21,0,0,11,100,0,0,"8-15","wrzesień","2022","34","9B"
"Mazowieckie",10,0.07,0,0,10,100,0,0,"8-15","wrzesień","2022","34","9B"
"Opolskie",1,0.11,0,0,1,100,0,0,"8-15","wrzesień","2022","34","9B"
"Podkarpackie",0,0,0,0,0,0,0,0,"8-15","wrzesień","2022","34","9B"
"Podlaskie",1,0.12,0,0,1,100,0,0,"8-15","wrzesień","2022","34","9B"
"Pomorskie",22,0.14,10,45.5,17,77.3,4,18.2,"8-15","wrzesień","2022","34","9B"
"Śląskie",11,0.16,0,0,11,100,0,0,"8-15","wrzesień","2022","34","9B"
"Świętokrzyskie",2,0.13,0,0,2,100,0,0,"8-15","wrzesień","2022","34","9B"
"Warmińsko-Mazurskie",13,0.67,0,0,13,100,0,0,"8-15","wrzesień","2022","34","9B"
"Wielkopolskie",16,0.14,0,0,15,93.8,1,6.3,"8-15","wrzesień","2022","34","9B"
"Zachodniopomorskie",2,0.26,0,0,2,100,0,0,"8-15","wrzesień","2022","34","9B"
"Dolnośląskie",20,0.42,0,0,19,95,1,5,"16-22","wrzesień","2022","35","9C"
"Kujawsko-Pomorskie",15,0.22,0,0,15,100,0,0,"16-22","wrzesień","2022","35","9C"
"Lubelskie",2,0.05,0,0,2,100,0,0,"16-22","wrzesień","2022","35","9C"
"Lubuskie",3,0.2,0,0,3,100,0,0,"16-22","wrzesień","2022","35","9C"
"Łódzkie",2,0.08,0,0,2,100,0,0,"16-22","wrzesień","2022","35","9C"
"Małopolskie",13,0.21,1,7.7,11,84.6,1,7.7,"16-22","wrzesień","2022","35","9C"
"Mazowieckie",26,0.15,1,3.8,25,96.2,0,0,"16-22","wrzesień","2022","35","9C"
"Opolskie",3,0.21,0,0,3,100,0,0,"16-22","wrzesień","2022","35","9C"
"Podkarpackie",1,0.09,1,100,0,0,0,0,"16-22","wrzesień","2022","35","9C"
"Podlaskie",1,0.09,0,0,1,100,0,0,"16-22","wrzesień","2022","35","9C"
"Pomorskie",60,0.28,14,23.3,48,80,9,15,"16-22","wrzesień","2022","35","9C"
"Śląskie",15,0.14,0,0,6,40,9,60,"16-22","wrzesień","2022","35","9C"
"Świętokrzyskie",4,0.21,0,0,4,100,0,0,"16-22","wrzesień","2022","35","9C"
"Warmińsko-Mazurskie",6,0.38,0,0,6,100,0,0,"16-22","wrzesień","2022","35","9C"
"Wielkopolskie",37,0.24,0,0,36,97.3,1,2.7,"16-22","wrzesień","2022","35","9C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","wrzesień","2022","35","9C"
"Dolnośląskie",70,1.05,1,1.4,47,67.1,22,31.4,"23-30","wrzesień","2022","36","9D"
"Kujawsko-Pomorskie",55,0.64,0,0,55,100,0,0,"23-30","wrzesień","2022","36","9D"
"Lubelskie",7,0.15,0,0,7,100,0,0,"23-30","wrzesień","2022","36","9D"
"Lubuskie",4,0.23,0,0,4,100,0,0,"23-30","wrzesień","2022","36","9D"
"Łódzkie",6,0.13,0,0,6,100,0,0,"23-30","wrzesień","2022","36","9D"
"Małopolskie",19,0.21,0,0,11,57.9,8,42.1,"23-30","wrzesień","2022","36","9D"
"Mazowieckie",23,0.1,0,0,23,100,0,0,"23-30","wrzesień","2022","36","9D"
"Opolskie",0,0,0,0,0,0,0,0,"23-30","wrzesień","2022","36","9D"
"Podkarpackie",2,0.13,0,0,2,100,0,0,"23-30","wrzesień","2022","36","9D"
"Podlaskie",2,0.12,0,0,2,100,0,0,"23-30","wrzesień","2022","36","9D"
"Pomorskie",35,0.14,1,2.9,33,94.3,1,2.9,"23-30","wrzesień","2022","36","9D"
"Śląskie",34,0.24,1,2.9,33,97.1,0,0,"23-30","wrzesień","2022","36","9D"
"Świętokrzyskie",6,0.21,0,0,6,100,0,0,"23-30","wrzesień","2022","36","9D"
"Warmińsko-Mazurskie",12,0.5,0,0,12,100,0,0,"23-30","wrzesień","2022","36","9D"
"Wielkopolskie",47,0.23,0,0,46,97.9,1,2.1,"23-30","wrzesień","2022","36","9D"
"Zachodniopomorskie",2,0.1,0,0,2,100,0,0,"23-30","wrzesień","2022","36","9D"
"Dolnośląskie",16,0.31,0,0,16,100,0,0,"1-7","październik","2022","37","10A"
"Kujawsko-Pomorskie",44,0.61,0,0,43,97.7,1,2.3,"1-7","październik","2022","37","10A"
"Lubelskie",5,0.12,0,0,5,100,0,0,"1-7","październik","2022","37","10A"
"Lubuskie",5,0.3,0,0,5,100,0,0,"1-7","październik","2022","37","10A"
"Łódzkie",8,0.2,0,0,8,100,0,0,"1-7","październik","2022","37","10A"
"Małopolskie",18,0.19,1,5.6,14,77.8,3,16.7,"1-7","październik","2022","37","10A"
