"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Mazowieckie",30059,77.91,2.52,5519,274,7726,178.51,14237,56.76,2577,36.02,"16-22","marzec","2023","11","3C"
"Opolskie",2417,36.53,7.65,400,141.23,781,122.13,1012,23.13,224,16.99,"16-22","marzec","2023","11","3C"
"Podkarpackie",5402,37.07,-5.08,907,127.3,1541,97.45,2533,26.27,421,15.98,"16-22","marzec","2023","11","3C"
"Podlaskie",5147,64.17,-7.21,791,205.13,1665,197.72,2201,41.73,490,32.26,"16-22","marzec","2023","11","3C"
"Pomorskie",28982,175.55,-0.07,5050,579.63,8102,428.69,12854,118.96,2976,101.12,"16-22","marzec","2023","11","3C"
"Śląskie",21986,72.04,-6.36,3861,286.4,5484,174.71,10491,52.92,2150,34.63,"16-22","marzec","2023","11","3C"
"Świętokrzyskie",6472,78.21,26.72,1096,318.43,1808,219.56,2875,53.9,693,39.09,"16-22","marzec","2023","11","3C"
"Warmińsko-Mazurskie",4845,50.53,-5.56,625,144.68,1427,137.43,2261,35.59,532,30.11,"16-22","marzec","2023","11","3C"
"Wielkopolskie",32171,131.45,-2.47,5496,434.98,8922,320.79,15133,94.24,2620,59.94,"16-22","marzec","2023","11","3C"
"Zachodniopomorskie",3720,32.3,6.7,518,105.41,1115,94.79,1775,23.62,312,13.38,"16-22","marzec","2023","11","3C"
"Dolnośląskie",12784,49.12,-6.2,2051,174.28,3329,126.36,6282,36.97,1122,21.48,"23-31","marzec","2023","12","3D"
"Kujawsko-Pomorskie",12755,70.45,-15.12,2236,268.85,3890,200.13,5558,46.91,1071,30.76,"23-31","marzec","2023","12","3D"
"Lubelskie",9918,54.27,-11.12,1586,191.09,2896,150.93,4443,37.45,993,27.11,"23-31","marzec","2023","12","3D"
"Lubuskie",4819,54.49,-8.23,1012,258.74,1573,164.39,1918,33.12,316,18.54,"23-31","marzec","2023","12","3D"
"Łódzkie",9060,42.2,-16.42,1465,154.77,2298,106.31,4182,30.41,1115,24.18,"23-31","marzec","2023","12","3D"
"Małopolskie",19476,63.11,-6.31,3952,244.1,4903,142.97,8904,43.71,1717,31.55,"23-31","marzec","2023","12","3D"
"Mazowieckie",35308,71.18,-6.73,6573,253.81,8796,158.07,17052,52.87,2887,31.39,"23-31","marzec","2023","12","3D"
"Opolskie",2527,29.71,-6.82,437,120.01,777,94.5,1098,19.52,215,12.69,"23-31","marzec","2023","12","3D"
"Podkarpackie",6429,34.32,-2.76,1155,126.09,2048,100.73,2747,22.16,479,14.14,"23-31","marzec","2023","12","3D"
"Podlaskie",5313,51.52,-12.65,862,173.87,1693,156.37,2238,33,520,26.63,"23-31","marzec","2023","12","3D"
"Pomorskie",30420,143.31,-32.24,5802,517.95,8530,351.04,13195,94.98,2893,76.46,"23-31","marzec","2023","12","3D"
"Śląskie",22680,57.8,-14.24,4493,259.22,5723,141.81,10253,40.23,2211,27.7,"23-31","marzec","2023","12","3D"
"Świętokrzyskie",5640,53.01,-25.2,946,213.77,1579,149.14,2487,36.26,628,27.55,"23-31","marzec","2023","12","3D"
"Warmińsko-Mazurskie",6124,49.67,-0.85,924,166.36,1865,139.7,2706,33.13,629,27.69,"23-31","marzec","2023","12","3D"
"Wielkopolskie",35368,112.4,-19.05,6241,384.18,9412,263.21,16556,80.19,3159,56.21,"23-31","marzec","2023","12","3D"
"Zachodniopomorskie",4865,32.86,0.55,727,115.07,1431,94.62,2222,22.99,485,16.18,"23-31","marzec","2023","12","3D"
"Dolnośląskie",9577,47.31,-1.81,1608,175.67,2394,116.84,4641,35.11,934,22.99,"1-7","kwiecień","2023","13","4A"
"Kujawsko-Pomorskie",8617,61.19,-9.26,1740,268.99,2469,163.32,3739,40.57,669,24.71,"1-7","kwiecień","2023","13","4A"
"Lubelskie",5998,42.2,-12.07,1133,175.51,1616,108.28,2696,29.22,553,19.41,"1-7","kwiecień","2023","13","4A"
"Lubuskie",3059,44.47,-10.02,671,220.57,1000,134.37,1176,26.11,212,15.99,"1-7","kwiecień","2023","13","4A"
"Łódzkie",6415,38.41,-3.78,1096,148.86,1506,89.57,2950,27.58,863,24.07,"1-7","kwiecień","2023","13","4A"
"Małopolskie",16058,66.9,3.79,3598,285.73,3728,139.77,7481,47.22,1251,29.55,"1-7","kwiecień","2023","13","4A"
"Mazowieckie",28757,74.54,3.36,5907,293.26,7462,172.41,12633,50.36,2755,38.51,"1-7","kwiecień","2023","13","4A"
"Opolskie",1557,23.53,-6.17,301,106.28,418,65.37,681,15.56,157,11.91,"1-7","kwiecień","2023","13","4A"
"Podkarpackie",3213,22.05,-12.27,665,93.34,969,61.28,1310,13.59,269,10.21,"1-7","kwiecień","2023","13","4A"
"Podlaskie",4178,52.09,0.57,809,209.8,1065,126.47,1861,35.28,443,29.17,"1-7","kwiecień","2023","13","4A"
"Pomorskie",23490,142.28,-1.03,4658,534.64,6339,335.4,10425,96.48,2068,70.27,"1-7","kwiecień","2023","13","4A"
"Śląskie",18983,62.2,4.4,3824,283.66,4602,146.61,8382,42.28,2175,35.03,"1-7","kwiecień","2023","13","4A"
"Świętokrzyskie",4567,55.19,2.18,830,241.15,1186,144.02,2059,38.6,492,27.75,"1-7","kwiecień","2023","13","4A"
"Warmińsko-Mazurskie",3645,38.01,-11.66,579,134.03,1048,100.93,1636,25.76,382,21.62,"1-7","kwiecień","2023","13","4A"
"Wielkopolskie",25167,102.83,-9.57,5110,404.43,6769,243.38,11061,68.88,2227,50.95,"1-7","kwiecień","2023","13","4A"
"Zachodniopomorskie",4262,37.01,4.15,728,148.15,1270,107.96,1885,25.08,379,16.26,"1-7","kwiecień","2023","13","4A"
"Dolnośląskie",5658,24.45,-22.85,960,91.77,1173,50.09,2809,18.6,716,15.42,"8-15","kwiecień","2023","14","4B"
