"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Zachodniopomorskie",3920,32.97,9.58,691,127.91,1133,95.63,1604,20.01,492,22.9,"2020_02A","1_do_7_lutego_2020"
"Dolnośląskie",11914,51.35,-25.6,2549,231.67,2803,123.43,5073,32.75,1489,34.32,"2020_02B","8_do_15_lutego_2020"
"Kujawsko-Pomorskie",8990,54.17,-14.85,1998,253.28,1859,107.88,4151,37.08,982,33.97,"2020_02B","8_do_15_lutego_2020"
"Lubelskie",11370,67.29,10.19,1951,248.12,3869,227.67,4586,40.51,964,31.19,"2020_02B","8_do_15_lutego_2020"
"Lubuskie",1559,19.24,-4.91,431,111.73,398,46.61,608,11.12,122,8.73,"2020_02B","8_do_15_lutego_2020"
"Łódzkie",11852,60.22,-4.51,2420,268.23,4136,215.54,4232,32.65,1064,27.28,"2020_02B","8_do_15_lutego_2020"
"Małopolskie",19491,71.56,-15.03,4318,292.86,4026,138.63,9223,50.44,1924,42.05,"2020_02B","8_do_15_lutego_2020"
"Mazowieckie",36582,84.5,-28.57,7422,310.6,10552,224.72,15609,54.84,2999,38.72,"2020_02B","8_do_15_lutego_2020"
"Opolskie",2396,30.43,3.21,557,161.75,618,86.89,992,18.51,229,15.7,"2020_02B","8_do_15_lutego_2020"
"Podkarpackie",4486,26.36,-0.19,824,99.15,1448,82.77,1840,15.86,374,13.19,"2020_02B","8_do_15_lutego_2020"
"Podlaskie",3548,37.6,2.03,808,177.06,886,96.11,1362,21.27,492,29.75,"2020_02B","8_do_15_lutego_2020"
"Pomorskie",29506,157.77,14.76,6985,668.39,9419,450.9,11105,89.16,1997,64.16,"2020_02B","8_do_15_lutego_2020"
"Śląskie",20004,55.27,10.93,4543,267.47,6398,180.29,7671,31.82,1392,20.37,"2020_02B","8_do_15_lutego_2020"
"Świętokrzyskie",4761,48.1,4.95,1160,274.49,1051,111.93,2020,30.51,530,27.65,"2020_02B","8_do_15_lutego_2020"
"Warmińsko-Mazurskie",4301,37.7,9.8,905,166.99,1197,99.23,1781,22.81,418,22.56,"2020_02B","8_do_15_lutego_2020"
"Wielkopolskie",25219,90.18,-17.76,5518,361.72,4962,160.9,11883,63.45,2856,61.75,"2020_02B","8_do_15_lutego_2020"
"Zachodniopomorskie",4215,31.02,-1.95,796,128.92,1268,93.65,1675,18.29,476,19.38,"2020_02B","8_do_15_lutego_2020"
"Dolnośląskie",9558,47.08,-4.27,2039,211.79,1862,93.71,4361,32.18,1296,34.14,"2020_02C","16_do_22_lutego_2020"
"Kujawsko-Pomorskie",10057,69.26,15.09,2107,305.25,3074,203.86,4032,41.17,844,33.37,"2020_02C","16_do_22_lutego_2020"
"Lubelskie",14103,95.38,28.1,2455,356.82,4553,306.2,5731,57.85,1364,50.44,"2020_02C","16_do_22_lutego_2020"
"Lubuskie",1864,26.29,7.05,455,134.8,554,74.14,750,15.68,105,8.59,"2020_02C","16_do_22_lutego_2020"
"Łódzkie",15783,91.65,31.43,2741,347.21,5497,327.39,6059,53.43,1486,43.55,"2020_02C","16_do_22_lutego_2020"
"Małopolskie",16870,70.78,-0.77,3666,284.16,4115,161.94,7446,46.54,1643,41.03,"2020_02C","16_do_22_lutego_2020"
"Mazowieckie",35870,94.69,10.19,7989,382.09,8389,204.18,16030,64.37,3462,51.09,"2020_02C","16_do_22_lutego_2020"
"Opolskie",2219,32.2,1.78,505,167.59,362,58.17,1093,23.3,259,20.29,"2020_02C","16_do_22_lutego_2020"
"Podkarpackie",6562,44.06,17.71,1068,146.87,2269,148.22,2675,26.35,550,22.17,"2020_02C","16_do_22_lutego_2020"
"Podlaskie",5226,63.3,25.7,1145,286.75,1703,211.13,1823,32.54,555,38.36,"2020_02C","16_do_22_lutego_2020"
"Pomorskie",33562,205.09,47.32,7319,800.4,11045,604.27,12972,119.03,2226,81.73,"2020_02C","16_do_22_lutego_2020"
"Śląskie",23409,73.92,18.65,4770,320.95,7732,249,9248,43.84,1659,27.74,"2020_02C","16_do_22_lutego_2020"
"Świętokrzyskie",3559,41.09,-7.01,773,209.04,792,96.39,1581,27.29,413,24.62,"2020_02C","16_do_22_lutego_2020"
"Warmińsko-Mazurskie",5689,56.99,19.29,974,205.4,2118,200.66,2129,31.17,468,28.87,"2020_02C","16_do_22_lutego_2020"
"Wielkopolskie",24812,101.4,11.22,5665,424.4,5787,214.46,10881,66.4,2479,61.26,"2020_02C","16_do_22_lutego_2020"
"Zachodniopomorskie",2840,23.89,-7.13,648,119.95,691,58.32,1178,14.7,323,15.03,"2020_02C","16_do_22_lutego_2020"
"Dolnośląskie",10450,51.48,4.39,2266,235.37,1758,88.47,4917,36.28,1509,39.75,"2020_02D","23_do_29_lutego_2020"
"Kujawsko-Pomorskie",12674,87.28,18.02,2458,356.1,4266,282.91,4978,50.82,972,38.43,"2020_02D","23_do_29_lutego_2020"
"Lubelskie",13158,88.99,-6.39,2145,311.76,4043,271.9,5559,56.12,1411,52.18,"2020_02D","23_do_29_lutego_2020"
"Lubuskie",2326,32.8,6.52,525,155.54,732,97.97,901,18.84,168,13.74,"2020_02D","23_do_29_lutego_2020"
"Łódzkie",16446,95.5,3.85,2844,360.26,4908,292.31,6870,60.58,1824,53.45,"2020_02D","23_do_29_lutego_2020"
"Małopolskie",18393,77.17,6.39,4205,325.94,5368,211.24,7340,45.88,1480,36.96,"2020_02D","23_do_29_lutego_2020"
"Mazowieckie",28473,75.17,-19.53,5516,263.81,5627,136.96,14377,57.73,2953,43.57,"2020_02D","23_do_29_lutego_2020"
"Opolskie",1503,21.81,-10.39,247,81.97,239,38.4,787,16.78,230,18.02,"2020_02D","23_do_29_lutego_2020"
"Podkarpackie",6675,44.82,0.76,1050,144.39,2220,145.02,2895,28.51,510,20.56,"2020_02D","23_do_29_lutego_2020"
