"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",193,1.13,0,0,190,98.4,4,2.1,"1-7","styczeń","2023","1","1A"
"Kujawsko-Pomorskie",178,1.14,6,3.4,173,97.2,11,6.2,"1-7","styczeń","2023","1","1A"
"Lubelskie",105,0.91,5,4.8,99,94.3,1,1,"1-7","styczeń","2023","1","1A"
"Lubuskie",70,1.56,0,0,70,100,0,0,"1-7","styczeń","2023","1","1A"
"Łódzkie",164,1.01,1,0.6,161,98.2,2,1.2,"1-7","styczeń","2023","1","1A"
"Małopolskie",218,0.85,2,0.9,199,91.3,28,12.8,"1-7","styczeń","2023","1","1A"
"Mazowieckie",252,0.48,5,2,242,96,5,2,"1-7","styczeń","2023","1","1A"
"Opolskie",18,0.55,0,0,18,100,1,5.6,"1-7","styczeń","2023","1","1A"
"Podkarpackie",182,3.01,25,13.7,156,85.7,24,13.2,"1-7","styczeń","2023","1","1A"
"Podlaskie",182,2.12,0,0,176,96.7,8,4.4,"1-7","styczeń","2023","1","1A"
"Pomorskie",177,0.46,8,4.5,167,94.4,3,1.7,"1-7","styczeń","2023","1","1A"
"Śląskie",466,0.98,9,1.9,456,97.9,10,2.1,"1-7","styczeń","2023","1","1A"
"Świętokrzyskie",107,1.3,1,0.9,88,82.2,19,17.8,"1-7","styczeń","2023","1","1A"
"Warmińsko-Mazurskie",108,1.11,1,0.9,107,99.1,0,0,"1-7","styczeń","2023","1","1A"
"Wielkopolskie",403,1.13,11,2.7,376,93.3,39,9.7,"1-7","styczeń","2023","1","1A"
"Zachodniopomorskie",68,1.1,0,0,66,97.1,15,22.1,"1-7","styczeń","2023","1","1A"
"Dolnośląskie",155,1.3,3,1.9,148,95.5,6,3.9,"8-15","styczeń","2023","2","1B"
"Kujawsko-Pomorskie",115,0.99,3,2.6,110,95.7,16,13.9,"8-15","styczeń","2023","2","1B"
"Lubelskie",108,1.13,5,4.6,105,97.2,3,2.8,"8-15","styczeń","2023","2","1B"
"Lubuskie",67,1.35,0,0,67,100,0,0,"8-15","styczeń","2023","2","1B"
"Łódzkie",135,1.04,2,1.5,131,97,3,2.2,"8-15","styczeń","2023","2","1B"
"Małopolskie",238,0.92,8,3.4,221,92.9,39,16.4,"8-15","styczeń","2023","2","1B"
"Mazowieckie",176,0.4,3,1.7,160,90.9,13,7.4,"8-15","styczeń","2023","2","1B"
"Opolskie",12,0.4,0,0,12,100,0,0,"8-15","styczeń","2023","2","1B"
"Podkarpackie",236,2.7,7,3,213,90.3,24,10.2,"8-15","styczeń","2023","2","1B"
"Podlaskie",135,2.33,2,1.5,133,98.5,1,0.7,"8-15","styczeń","2023","2","1B"
"Pomorskie",96,0.3,2,2.1,85,88.5,12,12.5,"8-15","styczeń","2023","2","1B"
"Śląskie",277,0.85,4,1.4,271,97.8,10,3.6,"8-15","styczeń","2023","2","1B"
"Świętokrzyskie",133,2.51,0,0,125,94,17,12.8,"8-15","styczeń","2023","2","1B"
"Warmińsko-Mazurskie",128,1.54,3,2.3,124,96.9,1,0.8,"8-15","styczeń","2023","2","1B"
"Wielkopolskie",296,0.92,5,1.7,287,97,39,13.2,"8-15","styczeń","2023","2","1B"
"Zachodniopomorskie",80,1.8,0,0,74,92.5,14,17.5,"8-15","styczeń","2023","2","1B"
"Dolnośląskie",110,1.03,8,7.3,101,91.8,9,8.2,"16-22","styczeń","2023","3","1C"
"Kujawsko-Pomorskie",81,0.95,1,1.2,77,95.1,5,6.2,"16-22","styczeń","2023","3","1C"
"Lubelskie",46,0.63,0,0,46,100,1,2.2,"16-22","styczeń","2023","3","1C"
"Lubuskie",27,0.89,0,0,27,100,0,0,"16-22","styczeń","2023","3","1C"
"Łódzkie",102,1.2,5,4.9,97,95.1,0,0,"16-22","styczeń","2023","3","1C"
"Małopolskie",145,0.62,0,0,128,88.3,40,27.6,"16-22","styczeń","2023","3","1C"
"Mazowieckie",185,0.52,13,7,170,91.9,2,1.1,"16-22","styczeń","2023","3","1C"
"Opolskie",10,0.35,0,0,6,60,4,40,"16-22","styczeń","2023","3","1C"
"Podkarpackie",79,1.37,1,1.3,71,89.9,18,22.8,"16-22","styczeń","2023","3","1C"
"Podlaskie",59,1.2,1,1.7,54,91.5,4,6.8,"16-22","styczeń","2023","3","1C"
"Pomorskie",50,0.28,1,2,47,94,2,4,"16-22","styczeń","2023","3","1C"
"Śląskie",196,0.77,2,1,185,94.4,9,4.6,"16-22","styczeń","2023","3","1C"
"Świętokrzyskie",40,0.67,1,2.5,34,85,6,15,"16-22","styczeń","2023","3","1C"
"Warmińsko-Mazurskie",87,1.42,0,0,87,100,0,0,"16-22","styczeń","2023","3","1C"
"Wielkopolskie",221,0.93,5,2.3,205,92.8,38,17.2,"16-22","styczeń","2023","3","1C"
"Zachodniopomorskie",73,1.68,4.1,0,69,94.5,10,13.7,"16-22","styczeń","2023","3","1C"
"Dolnośląskie",97,0.71,0,0,85,87.6,12,12.4,"23-31","styczeń","2023","4","1D"
"Kujawsko-Pomorskie",116,1.09,5,4.3,113,97.4,6,5.2,"23-31","styczeń","2023","4","1D"
"Lubelskie",61,0.64,2,3.3,58,95.1,4,6.6,"23-31","styczeń","2023","4","1D"
"Lubuskie",47,1.01,1,2.1,46,97.9,0,0,"23-31","styczeń","2023","4","1D"
"Łódzkie",62,0.86,1,1.6,58,93.5,3,4.8,"23-31","styczeń","2023","4","1D"
"Małopolskie",118,0.48,2,1.7,98,83.1,24,20.3,"23-31","styczeń","2023","4","1D"
"Mazowieckie",246,0.55,15,6.1,225,91.5,7,2.8,"23-31","styczeń","2023","4","1D"
"Opolskie",16,0.52,0,0,16,100,0,0,"23-31","styczeń","2023","4","1D"
"Podkarpackie",97,1.97,2,2.1,88,90.7,14,14.4,"23-31","styczeń","2023","4","1D"
"Podlaskie",76,1.44,0,0,74,97.4,2,2.6,"23-31","styczeń","2023","4","1D"
"Pomorskie",108,0.46,3,2.8,97,89.8,11,10.2,"23-31","styczeń","2023","4","1D"
"Śląskie",201,0.76,2,1,192,95.5,7,3.5,"23-31","styczeń","2023","4","1D"
"Świętokrzyskie",106,1.68,0,0,98,92.5,12,11.3,"23-31","styczeń","2023","4","1D"
"Warmińsko-Mazurskie",65,1.3,0,0,65,100,0,0,"23-31","styczeń","2023","4","1D"
"Wielkopolskie",206,0.64,8,3.9,191,92.7,46,22.3,"23-31","styczeń","2023","4","1D"
"Zachodniopomorskie",75,1.4,1.3,0,74,98.7,23,30.7,"23-31","styczeń","2023","4","1D"
"Dolnośląskie",79,0.58,2,2.5,69,87.3,8,10.1,"1-7","luty","2023","5","2A"
"Kujawsko-Pomorskie",68,0.97,0,0,66,97.1,4,5.9,"1-7","luty","2023","5","2A"
"Lubelskie",24,0.41,0,0,24,100,0,0,"1-7","luty","2023","5","2A"
"Lubuskie",27,0.79,0,0,27,100,0,0,"1-7","luty","2023","5","2A"
"Łódzkie",34,0.51,0,0,34,100,0,0,"1-7","luty","2023","5","2A"
"Małopolskie",118,0.6,1,0.8,107,90.7,10,8.5,"1-7","luty","2023","5","2A"
"Mazowieckie",147,0.38,3,2,133,90.5,11,7.5,"1-7","luty","2023","5","2A"
"Opolskie",5,0.2,0,0,5,100,0,0,"1-7","luty","2023","5","2A"
"Podkarpackie",33,0.87,0,0,29,87.9,5,15.2,"1-7","luty","2023","5","2A"
"Podlaskie",48,1.05,0,0,44,91.7,4,8.3,"1-7","luty","2023","5","2A"
"Pomorskie",72,0.35,7,9.7,63,87.5,4,5.6,"1-7","luty","2023","5","2A"
"Śląskie",163,0.72,1,0.6,157,96.3,5,3.1,"1-7","luty","2023","5","2A"
"Świętokrzyskie",56,0.9,1,1.8,53,94.6,2,3.6,"1-7","luty","2023","5","2A"
"Warmińsko-Mazurskie",49,1.13,0,0,49,100,0,0,"1-7","luty","2023","5","2A"
"Wielkopolskie",179,0.82,6,3.4,160,89.4,26,14.5,"1-7","luty","2023","5","2A"
"Zachodniopomorskie",30,0.68,3.3,0,30,100,10,33.3,"1-7","luty","2023","5","2A"
"Dolnośląskie",106,0.96,0,0,99,93.4,8,7.5,"8-15","luty","2023","6","2B"
"Kujawsko-Pomorskie",64,0.89,0,0,63,98.4,1,1.6,"8-15","luty","2023","6","2B"
"Lubelskie",32,0.39,0,0,30,93.8,2,6.3,"8-15","luty","2023","6","2B"
"Lubuskie",25,0.99,0,0,18,72,8,32,"8-15","luty","2023","6","2B"
"Łódzkie",60,0.84,0,0,58,96.7,2,3.3,"8-15","luty","2023","6","2B"
"Małopolskie",134,0.71,0,0,120,89.6,14,10.4,"8-15","luty","2023","6","2B"
"Mazowieckie",139,0.34,2,1.4,125,89.9,14,10.1,"8-15","luty","2023","6","2B"
"Opolskie",6,0.28,0,0,6,100,0,0,"8-15","luty","2023","6","2B"
"Podkarpackie",53,1.33,0,0,48,90.6,5,9.4,"8-15","luty","2023","6","2B"
"Podlaskie",47,1.04,2,4.3,41,87.2,5,10.6,"8-15","luty","2023","6","2B"
"Pomorskie",77,0.29,4,5.2,62,80.5,11,14.3,"8-15","luty","2023","6","2B"
"Śląskie",116,0.46,5,4.3,108,93.1,4,3.4,"8-15","luty","2023","6","2B"
"Świętokrzyskie",71,1.54,2,2.8,66,93,7,9.9,"8-15","luty","2023","6","2B"
"Warmińsko-Mazurskie",45,1.23,1,2.2,44,97.8,0,0,"8-15","luty","2023","6","2B"
"Wielkopolskie",195,0.86,6,3.1,168,86.2,44,22.6,"8-15","luty","2023","6","2B"
"Zachodniopomorskie",35,0.88,2.9,0,35,100,13,37.1,"8-15","luty","2023","6","2B"
"Dolnośląskie",74,0.84,2,2.7,71,95.9,1,1.4,"16-22","luty","2023","7","2C"
"Kujawsko-Pomorskie",68,0.84,3,4.4,64,94.1,2,2.9,"16-22","luty","2023","7","2C"
"Lubelskie",35,0.37,0,0,30,85.7,5,14.3,"16-22","luty","2023","7","2C"
"Lubuskie",34,1.09,0,0,34,100,0,0,"16-22","luty","2023","7","2C"
"Łódzkie",47,0.59,0,0,47,100,0,0,"16-22","luty","2023","7","2C"
