"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Małopolskie",66,0.4,0,0,61,92.4,5,7.6,"16-22","luty","2023","7","2C"
"Mazowieckie",125,0.4,11,8.8,106,84.8,9,7.2,"16-22","luty","2023","7","2C"
"Opolskie",6,0.27,0,0,5,83.3,1,16.7,"16-22","luty","2023","7","2C"
"Podkarpackie",52,1.02,2,3.8,41,78.8,9,17.3,"16-22","luty","2023","7","2C"
"Podlaskie",39,0.84,1,2.6,35,89.7,3,7.7,"16-22","luty","2023","7","2C"
"Pomorskie",94,0.35,2,2.1,82,87.2,10,10.6,"16-22","luty","2023","7","2C"
"Śląskie",161,0.53,3,1.9,158,98.1,3,1.9,"16-22","luty","2023","7","2C"
"Świętokrzyskie",43,1.05,1,2.3,41,95.3,1,2.3,"16-22","luty","2023","7","2C"
"Warmińsko-Mazurskie",40,0.87,0,0,40,100,0,0,"16-22","luty","2023","7","2C"
"Wielkopolskie",110,0.55,3,2.7,100,90.9,14,12.7,"16-22","luty","2023","7","2C"
"Zachodniopomorskie",55,1.51,0,0,46,83.6,18,32.7,"16-22","luty","2023","7","2C"
"Dolnośląskie",37,0.46,0,0,34,91.9,3,8.1,"23-28","luty","2023","8","2D"
"Kujawsko-Pomorskie",66,0.79,2,3,64,97,5,7.6,"23-28","luty","2023","8","2D"
"Lubelskie",37,0.47,0,0,37,100,0,0,"23-28","luty","2023","8","2D"
"Lubuskie",17,0.41,0,0,17,100,0,0,"23-28","luty","2023","8","2D"
"Łódzkie",63,0.71,5,7.9,58,92.1,0,0,"23-28","luty","2023","8","2D"
"Małopolskie",55,0.35,0,0,45,81.8,10,18.2,"23-28","luty","2023","8","2D"
"Mazowieckie",149,0.57,8,5.4,141,94.6,1,0.7,"23-28","luty","2023","8","2D"
"Opolskie",7,0.44,0,0,7,100,0,0,"23-28","luty","2023","8","2D"
"Podkarpackie",66,1.42,0,0,59,89.4,11,16.7,"23-28","luty","2023","8","2D"
"Podlaskie",47,1.33,0,0,42,89.4,5,10.6,"23-28","luty","2023","8","2D"
"Pomorskie",61,0.25,5,8.2,52,85.2,4,6.6,"23-28","luty","2023","8","2D"
"Śląskie",145,0.54,0,0,139,95.9,7,4.8,"23-28","luty","2023","8","2D"
"Świętokrzyskie",40,0.79,0,0,36,90,4,10,"23-28","luty","2023","8","2D"
"Warmińsko-Mazurskie",33,0.83,0,0,33,100,0,0,"23-28","luty","2023","8","2D"
"Wielkopolskie",105,0.46,0,0,99,94.3,15,14.3,"23-28","luty","2023","8","2D"
"Zachodniopomorskie",45,1.62,2.2,0,42,93.3,5,11.1,"23-28","luty","2023","8","2D"
"Dolnośląskie",67,0.84,0,0,65,97,2,3,"1-7","marzec","2023","9","3A"
"Kujawsko-Pomorskie",69,0.67,0,0,68,98.6,6,8.7,"1-7","marzec","2023","9","3A"
"Lubelskie",38,0.42,0,0,36,94.7,2,5.3,"1-7","marzec","2023","9","3A"
"Lubuskie",17,0.41,0,0,15,88.2,2,11.8,"1-7","marzec","2023","9","3A"
"Łódzkie",53,0.59,4,7.5,49,92.5,0,0,"1-7","marzec","2023","9","3A"
"Małopolskie",75,0.4,0,0,67,89.3,8,10.7,"1-7","marzec","2023","9","3A"
"Mazowieckie",164,0.65,2,1.2,159,97,4,2.4,"1-7","marzec","2023","9","3A"
"Opolskie",4,0.23,0,0,2,50,2,50,"1-7","marzec","2023","9","3A"
"Podkarpackie",52,0.89,0,0,49,94.2,3,5.8,"1-7","marzec","2023","9","3A"
"Podlaskie",50,1.05,2,4,49,98,1,2,"1-7","marzec","2023","9","3A"
"Pomorskie",72,0.25,0,0,67,93.1,5,6.9,"1-7","marzec","2023","9","3A"
"Śląskie",132,0.52,7,5.3,123,93.2,3,2.3,"1-7","marzec","2023","9","3A"
"Świętokrzyskie",52,1.19,0,0,47,90.4,8,15.4,"1-7","marzec","2023","9","3A"
"Warmińsko-Mazurskie",45,1.02,0,0,45,100,0,0,"1-7","marzec","2023","9","3A"
"Wielkopolskie",131,0.52,0,0,125,95.4,22,16.8,"1-7","marzec","2023","9","3A"
"Zachodniopomorskie",33,1.08,0,0,28,84.8,10,30.3,"1-7","marzec","2023","9","3A"
"Dolnośląskie",55,0.46,0,0,46,83.6,9,16.4,"8-15","marzec","2023","10","3B"
"Kujawsko-Pomorskie",124,0.87,0,0,123,99.2,13,10.5,"8-15","marzec","2023","10","3B"
"Lubelskie",49,0.43,0,0,47,95.9,2,4.1,"8-15","marzec","2023","10","3B"
"Lubuskie",20,0.38,0,0,20,100,0,0,"8-15","marzec","2023","10","3B"
"Łódzkie",79,0.75,0,0,77,97.5,2,2.5,"8-15","marzec","2023","10","3B"
"Małopolskie",62,0.31,0,0,45,72.6,17,27.4,"8-15","marzec","2023","10","3B"
"Mazowieckie",165,0.5,1,0.6,160,97,4,2.4,"8-15","marzec","2023","10","3B"
"Opolskie",7,0.32,1,14.3,3,42.9,3,42.9,"8-15","marzec","2023","10","3B"
"Podkarpackie",81,1.15,1,1.2,75,92.6,11,13.6,"8-15","marzec","2023","10","3B"
"Podlaskie",62,0.95,0,0,59,95.2,3,4.8,"8-15","marzec","2023","10","3B"
"Pomorskie",93,0.28,3,3.2,90,96.8,0,0,"8-15","marzec","2023","10","3B"
"Śląskie",107,0.39,9,8.4,92,86,6,5.6,"8-15","marzec","2023","10","3B"
"Świętokrzyskie",41,0.84,1,2.4,40,97.6,3,7.3,"8-15","marzec","2023","10","3B"
"Warmińsko-Mazurskie",39,0.63,0,0,39,100,0,0,"8-15","marzec","2023","10","3B"
"Wielkopolskie",173,0.46,0,0,155,89.6,33,19.1,"8-15","marzec","2023","10","3B"
"Zachodniopomorskie",35,1.04,0,0,31,88.6,8,22.9,"8-15","marzec","2023","10","3B"
"Dolnośląskie",67,0.5,0,0,66,98.5,2,3,"16-22","marzec","2023","11","3C"
"Kujawsko-Pomorskie",115,0.95,2,1.7,110,95.7,19,16.5,"16-22","marzec","2023","11","3C"
"Lubelskie",42,0.45,0,0,41,97.6,4,9.5,"16-22","marzec","2023","11","3C"
"Lubuskie",36,0.83,0,0,30,83.3,8,22.2,"16-22","marzec","2023","11","3C"
"Łódzkie",43,0.44,0,0,42,97.7,1,2.3,"16-22","marzec","2023","11","3C"
"Małopolskie",47,0.28,1,2.1,42,89.4,8,17,"16-22","marzec","2023","11","3C"
"Mazowieckie",150,0.5,7,4.7,139,92.7,4,2.7,"16-22","marzec","2023","11","3C"
"Opolskie",4,0.17,0,0,4,100,0,0,"16-22","marzec","2023","11","3C"
"Podkarpackie",98,1.81,9,9.2,88,89.8,12,12.2,"16-22","marzec","2023","11","3C"
"Podlaskie",50,0.97,2,4,48,96,2,4,"16-22","marzec","2023","11","3C"
"Pomorskie",69,0.24,1,1.4,63,91.3,5,7.2,"16-22","marzec","2023","11","3C"
"Śląskie",116,0.53,9,7.8,109,94,5,4.3,"16-22","marzec","2023","11","3C"
"Świętokrzyskie",39,0.6,0,0,38,97.4,3,7.7,"16-22","marzec","2023","11","3C"
"Warmińsko-Mazurskie",65,1.34,0,0,65,100,0,0,"16-22","marzec","2023","11","3C"
"Wielkopolskie",166,0.52,6,3.6,149,89.8,33,19.9,"16-22","marzec","2023","11","3C"
"Zachodniopomorskie",35,0.94,0,0,32,91.4,11,31.4,"16-22","marzec","2023","11","3C"
"Dolnośląskie",85,0.66,1,1.2,81,95.3,3,3.5,"23-31","marzec","2023","12","3D"
"Kujawsko-Pomorskie",139,1.09,3,2.2,137,98.6,7,5,"23-31","marzec","2023","12","3D"
"Lubelskie",59,0.59,0,0,55,93.2,5,8.5,"23-31","marzec","2023","12","3D"
"Lubuskie",31,0.64,0,0,28,90.3,3,9.7,"23-31","marzec","2023","12","3D"
"Łódzkie",29,0.32,2,6.9,27,93.1,0,0,"23-31","marzec","2023","12","3D"
"Małopolskie",117,0.6,1,0.9,104,88.9,12,10.3,"23-31","marzec","2023","12","3D"
"Mazowieckie",143,0.41,5,3.5,131,91.6,7,4.9,"23-31","marzec","2023","12","3D"
"Opolskie",1,0.04,0,0,1,100,0,0,"23-31","marzec","2023","12","3D"
"Podkarpackie",77,1.2,0,0,75,97.4,2,2.6,"23-31","marzec","2023","12","3D"
"Podlaskie",46,0.87,0,0,42,91.3,4,8.7,"23-31","marzec","2023","12","3D"
"Pomorskie",103,0.34,2,1.9,89,86.4,12,11.7,"23-31","marzec","2023","12","3D"
"Śląskie",93,0.41,1,1.1,91,97.8,2,2.2,"23-31","marzec","2023","12","3D"
"Świętokrzyskie",33,0.59,1,3,32,97,1,3,"23-31","marzec","2023","12","3D"
"Warmińsko-Mazurskie",52,0.85,0,0,52,100,0,0,"23-31","marzec","2023","12","3D"
"Wielkopolskie",221,0.62,5,2.3,213,96.4,21,9.5,"23-31","marzec","2023","12","3D"
"Zachodniopomorskie",39,0.8,2.6,0,35,89.7,10,25.6,"23-31","marzec","2023","12","3D"
"Dolnośląskie",58,0.61,0,0,54,93.1,4,6.9,"1-7","kwiecień","2023","13","4A"
"Kujawsko-Pomorskie",47,0.55,0,0,46,97.9,6,12.8,"1-7","kwiecień","2023","13","4A"
"Lubelskie",20,0.33,1,5,20,100,0,0,"1-7","kwiecień","2023","13","4A"
"Lubuskie",14,0.46,0,0,10,71.4,4,28.6,"1-7","kwiecień","2023","13","4A"
"Łódzkie",36,0.56,3,8.3,32,88.9,1,2.8,"1-7","kwiecień","2023","13","4A"
"Małopolskie",32,0.2,1,3.1,28,87.5,3,9.4,"1-7","kwiecień","2023","13","4A"
"Mazowieckie",42,0.15,1,2.4,40,95.2,1,2.4,"1-7","kwiecień","2023","13","4A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","kwiecień","2023","13","4A"
"Podkarpackie",37,1.15,4,10.8,34,91.9,1,2.7,"1-7","kwiecień","2023","13","4A"
"Podlaskie",37,0.89,0,0,35,94.6,2,5.4,"1-7","kwiecień","2023","13","4A"
"Pomorskie",68,0.29,6,8.8,60,88.2,2,2.9,"1-7","kwiecień","2023","13","4A"
"Śląskie",90,0.47,4,4.4,80,88.9,6,6.7,"1-7","kwiecień","2023","13","4A"
"Świętokrzyskie",36,0.79,1,2.8,35,97.2,0,0,"1-7","kwiecień","2023","13","4A"
"Warmińsko-Mazurskie",38,1.04,0,0,38,100,0,0,"1-7","kwiecień","2023","13","4A"
"Wielkopolskie",91,0.36,0,0,80,87.9,14,15.4,"1-7","kwiecień","2023","13","4A"
"Zachodniopomorskie",37,0.87,0,0,32,86.5,13,35.1,"1-7","kwiecień","2023","13","4A"
"Dolnośląskie",30,0.53,0,0,30,100,0,0,"8-15","kwiecień","2023","14","4B"
"Kujawsko-Pomorskie",68,1.02,0,0,68,100,1,1.5,"8-15","kwiecień","2023","14","4B"
"Lubelskie",73,1.12,0,0,72,98.6,1,1.4,"8-15","kwiecień","2023","14","4B"
"Lubuskie",14,0.58,0,0,14,100,0,0,"8-15","kwiecień","2023","14","4B"
"Łódzkie",26,0.65,0,0,26,100,0,0,"8-15","kwiecień","2023","14","4B"
"Małopolskie",21,0.22,0,0,19,90.5,2,9.5,"8-15","kwiecień","2023","14","4B"
"Mazowieckie",59,0.3,4,6.8,46,78,9,15.3,"8-15","kwiecień","2023","14","4B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","kwiecień","2023","14","4B"
"Podkarpackie",58,2.16,2,3.4,56,96.6,1,1.7,"8-15","kwiecień","2023","14","4B"
"Podlaskie",28,1.12,0,0,26,92.9,2,7.1,"8-15","kwiecień","2023","14","4B"
"Pomorskie",49,0.27,1,2,48,98,0,0,"8-15","kwiecień","2023","14","4B"
"Śląskie",85,0.54,3,3.5,82,96.5,0,0,"8-15","kwiecień","2023","14","4B"
"Świętokrzyskie",16,0.65,0,0,16,100,0,0,"8-15","kwiecień","2023","14","4B"
"Warmińsko-Mazurskie",25,0.84,0,0,25,100,0,0,"8-15","kwiecień","2023","14","4B"
"Wielkopolskie",129,0.71,2,1.6,122,94.6,9,7,"8-15","kwiecień","2023","14","4B"
"Zachodniopomorskie",21,0.76,0,0,18,85.7,4,19,"8-15","kwiecień","2023","14","4B"
"Dolnośląskie",27,0.47,0,0,26,96.3,1,3.7,"16-22","kwiecień","2023","15","4C"
"Kujawsko-Pomorskie",55,0.85,0,0,54,98.2,3,5.5,"16-22","kwiecień","2023","15","4C"
"Lubelskie",15,0.35,0,0,15,100,0,0,"16-22","kwiecień","2023","15","4C"
"Lubuskie",11,0.52,0,0,9,81.8,2,18.2,"16-22","kwiecień","2023","15","4C"
"Łódzkie",25,0.48,0,0,25,100,0,0,"16-22","kwiecień","2023","15","4C"
"Małopolskie",51,0.47,0,0,50,98,1,2,"16-22","kwiecień","2023","15","4C"
"Mazowieckie",72,0.33,1,1.4,70,97.2,1,1.4,"16-22","kwiecień","2023","15","4C"
"Opolskie",4,0.32,0,0,4,100,0,0,"16-22","kwiecień","2023","15","4C"
"Podkarpackie",16,0.65,1,6.3,14,87.5,1,6.3,"16-22","kwiecień","2023","15","4C"
"Podlaskie",16,0.76,0,0,16,100,0,0,"16-22","kwiecień","2023","15","4C"
"Pomorskie",83,0.47,1,1.2,76,91.6,6,7.2,"16-22","kwiecień","2023","15","4C"
"Śląskie",73,0.52,4,5.5,67,91.8,2,2.7,"16-22","kwiecień","2023","15","4C"
"Świętokrzyskie",20,0.62,1,5,19,95,0,0,"16-22","kwiecień","2023","15","4C"
"Warmińsko-Mazurskie",16,0.73,0,0,16,100,0,0,"16-22","kwiecień","2023","15","4C"
"Wielkopolskie",81,0.46,0,0,79,97.5,2,2.5,"16-22","kwiecień","2023","15","4C"
"Zachodniopomorskie",9,0.34,0,0,8,88.9,3,33.3,"16-22","kwiecień","2023","15","4C"
"Dolnośląskie",22,0.29,2,9.1,20,90.9,0,0,"23-30","kwiecień","2023","16","4D"
"Kujawsko-Pomorskie",51,0.82,0,0,51,100,1,2,"23-30","kwiecień","2023","16","4D"
"Lubelskie",12,0.33,3,25,12,100,1,8.3,"23-30","kwiecień","2023","16","4D"
"Lubuskie",10,0.66,0,0,10,100,0,0,"23-30","kwiecień","2023","16","4D"
"Łódzkie",26,0.62,0,0,26,100,0,0,"23-30","kwiecień","2023","16","4D"
"Małopolskie",22,0.24,0,0,22,100,0,0,"23-30","kwiecień","2023","16","4D"
"Mazowieckie",97,0.69,1,1,95,97.9,1,1,"23-30","kwiecień","2023","16","4D"
"Opolskie",1,0.13,0,0,1,100,0,0,"23-30","kwiecień","2023","16","4D"
"Podkarpackie",18,1.06,0,0,17,94.4,1,5.6,"23-30","kwiecień","2023","16","4D"
"Podlaskie",7,0.31,0,0,7,100,0,0,"23-30","kwiecień","2023","16","4D"
"Pomorskie",62,0.45,0,0,59,95.2,3,4.8,"23-30","kwiecień","2023","16","4D"
"Śląskie",59,0.42,6,10.2,58,98.3,1,1.7,"23-30","kwiecień","2023","16","4D"
"Świętokrzyskie",18,0.81,0,0,18,100,0,0,"23-30","kwiecień","2023","16","4D"
"Warmińsko-Mazurskie",23,1.06,0,0,23,100,0,0,"23-30","kwiecień","2023","16","4D"
"Wielkopolskie",69,0.39,4,5.8,61,88.4,11,15.9,"23-30","kwiecień","2023","16","4D"
"Zachodniopomorskie",4,0.3,0,0,3,75,2,50,"23-30","kwiecień","2023","16","4D"
"Dolnośląskie",28,0.9,0,0,27,96.4,1,3.6,"1-7","maj","2023","17","5A"
"Kujawsko-Pomorskie",38,1.08,0,0,38,100,1,2.6,"1-7","maj","2023","17","5A"
"Lubelskie",4,0.14,0,0,4,100,1,25,"1-7","maj","2023","17","5A"
"Lubuskie",8,0.52,0,0,7,87.5,1,12.5,"1-7","maj","2023","17","5A"
"Łódzkie",5,0.19,0,0,5,100,0,0,"1-7","maj","2023","17","5A"
"Małopolskie",6,0.09,0,0,6,100,0,0,"1-7","maj","2023","17","5A"
"Mazowieckie",56,0.3,5,8.9,41,73.2,10,17.9,"1-7","maj","2023","17","5A"
"Opolskie",2,0.17,0,0,2,100,0,0,"1-7","maj","2023","17","5A"
"Podkarpackie",12,1.16,0,0,12,100,0,0,"1-7","maj","2023","17","5A"
"Podlaskie",7,0.44,0,0,7,100,0,0,"1-7","maj","2023","17","5A"
"Pomorskie",56,0.41,0,0,53,94.6,3,5.4,"1-7","maj","2023","17","5A"
"Śląskie",55,0.55,2,3.6,53,96.4,0,0,"1-7","maj","2023","17","5A"
"Świętokrzyskie",10,0.69,0,0,10,100,1,10,"1-7","maj","2023","17","5A"
"Warmińsko-Mazurskie",8,0.48,0,0,8,100,0,0,"1-7","maj","2023","17","5A"
"Wielkopolskie",67,0.63,0,0,61,91,10,14.9,"1-7","maj","2023","17","5A"
"Zachodniopomorskie",4,0.27,0,0,4,100,0,0,"1-7","maj","2023","17","5A"
"Dolnośląskie",23,0.47,0,0,22,95.7,1,4.3,"8-15","maj","2023","18","5B"
"Kujawsko-Pomorskie",38,0.66,0,0,36,94.7,2,5.3,"8-15","maj","2023","18","5B"
"Lubelskie",6,0.17,0,0,6,100,0,0,"8-15","maj","2023","18","5B"
"Lubuskie",5,0.34,0,0,5,100,0,0,"8-15","maj","2023","18","5B"
"Łódzkie",22,0.72,4,18.2,18,81.8,0,0,"8-15","maj","2023","18","5B"
"Małopolskie",21,0.22,0,0,20,95.2,1,4.8,"8-15","maj","2023","18","5B"
"Mazowieckie",25,0.13,1,4,22,88,2,8,"8-15","maj","2023","18","5B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","maj","2023","18","5B"
"Podkarpackie",13,0.9,0,0,13,100,0,0,"8-15","maj","2023","18","5B"
