"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Lubuskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Łódzkie",2,0,0,1,1,"23-28","luty","2023","8","2D"
"Małopolskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Mazowieckie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Opolskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Podkarpackie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Podlaskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Pomorskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Śląskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Świętokrzyskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Wielkopolskie",1,0,0,0,1,"23-28","luty","2023","8","2D"
"Zachodniopomorskie",0,0,0,0,0,"23-28","luty","2023","8","2D"
"Dolnośląskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Lubelskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Lubuskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Łódzkie",1,0,0,1,0,"1-7","marzec","2023","9","3A"
"Małopolskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Mazowieckie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Opolskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Podkarpackie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Podlaskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Pomorskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Śląskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Świętokrzyskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Wielkopolskie",1,0,0,1,0,"1-7","marzec","2023","9","3A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","marzec","2023","9","3A"
"Dolnośląskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Lubelskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Lubuskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Łódzkie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Małopolskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Mazowieckie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Opolskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Podkarpackie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Podlaskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Pomorskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Śląskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Świętokrzyskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Wielkopolskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","marzec","2023","10","3B"
"Dolnośląskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Lubelskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Lubuskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Łódzkie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Małopolskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Mazowieckie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Opolskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Podkarpackie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Podlaskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Pomorskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Śląskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Świętokrzyskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Wielkopolskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","marzec","2023","11","3C"
"Dolnośląskie",0,0,0,0,0,"23-31","marzec","2023","12","3D"
"Kujawsko-Pomorskie",1,0,0,0,1,"23-31","marzec","2023","12","3D"
