"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Wielkopolskie",18,0.94,1,5.6,15,83.3,3,16.7,"2010_01D","23_do_31_stycznia_2010"
"Zachodniopomorskie",3,0.73,1,33.3,1,33.3,1,33.3,"2010_01D","23_do_31_stycznia_2010"
"Dolnośląskie",2,0.11,0,0,2,100,0,0,"2010_02A","1_do_7_lutego_2010"
"Kujawsko-Pomorskie",3,1.24,0,0,2,66.7,1,33.3,"2010_02A","1_do_7_lutego_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Łódzkie",3,0.11,0,0,0,0,3,100,"2010_02A","1_do_7_lutego_2010"
"Małopolskie",4,0.43,0,0,3,75,2,50,"2010_02A","1_do_7_lutego_2010"
"Mazowieckie",5,0.14,0,0,4,80,1,20,"2010_02A","1_do_7_lutego_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Podkarpackie",3,1.13,1,33.3,2,66.7,0,0,"2010_02A","1_do_7_lutego_2010"
"Podlaskie",3,0.93,0,0,3,100,1,33.3,"2010_02A","1_do_7_lutego_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Śląskie",1,0.08,1,100,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Świętokrzyskie",6,66.67,0,0,4,66.7,2,33.3,"2010_02A","1_do_7_lutego_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Wielkopolskie",21,1.24,1,4.8,20,95.2,1,4.8,"2010_02A","1_do_7_lutego_2010"
"Zachodniopomorskie",2,0.46,1,50,0,0,1,50,"2010_02A","1_do_7_lutego_2010"
"Dolnośląskie",1,0.05,0,0,1,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Lubelskie",5,1.68,0,0,5,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Łódzkie",27,0.99,11,40.7,24,88.9,2,7.4,"2010_02B","8_do_15_lutego_2010"
"Małopolskie",3,0.27,1,33.3,3,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Mazowieckie",17,0.76,0,0,16,94.1,1,5.9,"2010_02B","8_do_15_lutego_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Pomorskie",1,0.22,1,100,1,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Śląskie",6,0.51,1,16.7,6,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Warmińsko-Mazurskie",4,0.56,0,0,4,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Wielkopolskie",25,0.91,2,8,24,96,1,4,"2010_02B","8_do_15_lutego_2010"
"Zachodniopomorskie",9,1.97,0,0,9,100,0,0,"2010_02B","8_do_15_lutego_2010"
"Dolnośląskie",4,0.37,0,0,4,100,0,0,"2010_02C","16_do_22_lutego_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Lubelskie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Łódzkie",2,0.14,0,0,2,100,0,0,"2010_02C","16_do_22_lutego_2010"
"Małopolskie",1,0.11,0,0,1,100,0,0,"2010_02C","16_do_22_lutego_2010"
"Mazowieckie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Podkarpackie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Podlaskie",1,0.19,0,0,1,100,0,0,"2010_02C","16_do_22_lutego_2010"
"Pomorskie",0,0,0,0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
