"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Pomorskie",69,0.45,0,0,69,100,7,10.1,"2012_10B","8_do_15_października_2012"
"Śląskie",1,0.03,0,0,1,100,0,0,"2012_10B","8_do_15_października_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_10B","8_do_15_października_2012"
"Warmińsko-Mazurskie",3,0.57,0,0,3,100,0,0,"2012_10B","8_do_15_października_2012"
"Wielkopolskie",31,0.48,0,0,31,100,0,0,"2012_10B","8_do_15_października_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_10B","8_do_15_października_2012"
"Dolnośląskie",1,0.07,0,0,1,100,0,0,"2012_10C","16_do_22_października_2012"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Lubelskie",1,0.24,0,0,1,100,0,0,"2012_10C","16_do_22_października_2012"
"Lubuskie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Łódzkie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Małopolskie",6,0.12,0,0,6,100,0,0,"2012_10C","16_do_22_października_2012"
"Mazowieckie",19,0.27,0,0,19,100,0,0,"2012_10C","16_do_22_października_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Podlaskie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Pomorskie",64,0.42,1,1.6,64,100,8,12.5,"2012_10C","16_do_22_października_2012"
"Śląskie",3,0.11,0,0,3,100,0,0,"2012_10C","16_do_22_października_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Warmińsko-Mazurskie",5,3.42,0,0,5,100,0,0,"2012_10C","16_do_22_października_2012"
"Wielkopolskie",22,0.38,0,0,22,100,0,0,"2012_10C","16_do_22_października_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_10C","16_do_22_października_2012"
"Dolnośląskie",3,0.14,0,0,3,100,0,0,"2012_10D","23_do_31_października_2012"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Lubelskie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Lubuskie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Łódzkie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Małopolskie",19,0.24,0,0,19,100,0,0,"2012_10D","23_do_31_października_2012"
"Mazowieckie",66,0.57,0,0,61,92.4,5,7.6,"2012_10D","23_do_31_października_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Podlaskie",1,0.1,0,0,1,100,0,0,"2012_10D","23_do_31_października_2012"
"Pomorskie",92,0.55,4,4.3,91,98.9,10,10.9,"2012_10D","23_do_31_października_2012"
"Śląskie",2,0.05,0,0,2,100,0,0,"2012_10D","23_do_31_października_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Warmińsko-Mazurskie",8,2.52,0,0,8,100,0,0,"2012_10D","23_do_31_października_2012"
"Wielkopolskie",26,0.4,1,3.8,25,96.2,1,3.8,"2012_10D","23_do_31_października_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_10D","23_do_31_października_2012"
"Dolnośląskie",2,0.13,0,0,1,50,1,50,"2012_11A","1_do_7_listopada_2012"
"Kujawsko-Pomorskie",1,0.4,0,0,1,100,0,0,"2012_11A","1_do_7_listopada_2012"
"Lubelskie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Lubuskie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Łódzkie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Małopolskie",16,0.24,0,0,15,93.8,1,6.3,"2012_11A","1_do_7_listopada_2012"
"Mazowieckie",19,0.23,0,0,18,94.7,1,5.3,"2012_11A","1_do_7_listopada_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Podlaskie",1,0.07,0,0,1,100,0,0,"2012_11A","1_do_7_listopada_2012"
"Pomorskie",69,0.5,1,1.4,68,98.6,11,15.9,"2012_11A","1_do_7_listopada_2012"
"Śląskie",4,0.11,0,0,4,100,0,0,"2012_11A","1_do_7_listopada_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Warmińsko-Mazurskie",1,0.32,0,0,1,100,0,0,"2012_11A","1_do_7_listopada_2012"
"Wielkopolskie",29,0.48,0,0,29,100,0,0,"2012_11A","1_do_7_listopada_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_11A","1_do_7_listopada_2012"
"Dolnośląskie",12,0.67,0,0,12,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Kujawsko-Pomorskie",1,0.25,0,0,1,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Lubelskie",1,0.23,0,0,1,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Lubuskie",1,0.86,0,0,1,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Łódzkie",0,0,0,0,0,0,0,0,"2012_11B","8_do_15_listopada_2012"
"Małopolskie",28,0.37,1,3.6,27,96.4,0,0,"2012_11B","8_do_15_listopada_2012"
"Mazowieckie",2,0.02,0,0,2,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_11B","8_do_15_listopada_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_11B","8_do_15_listopada_2012"
"Podlaskie",1,0.13,0,0,1,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Pomorskie",62,0.38,3,4.8,58,93.5,4,6.5,"2012_11B","8_do_15_listopada_2012"
"Śląskie",3,0.12,0,0,3,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_11B","8_do_15_listopada_2012"
"Warmińsko-Mazurskie",6,2.25,0,0,6,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Wielkopolskie",25,0.36,0,0,25,100,0,0,"2012_11B","8_do_15_listopada_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_11B","8_do_15_listopada_2012"
"Dolnośląskie",1,0.07,0,0,1,100,0,0,"2012_11C","16_do_22_listopada_2012"
"Kujawsko-Pomorskie",1,0.18,1,100,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Lubelskie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Lubuskie",1,0.28,0,0,1,100,0,0,"2012_11C","16_do_22_listopada_2012"
"Łódzkie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Małopolskie",10,0.15,0,0,10,100,0,0,"2012_11C","16_do_22_listopada_2012"
"Mazowieckie",12,0.18,0,0,12,100,0,0,"2012_11C","16_do_22_listopada_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Podlaskie",1,0.09,0,0,1,100,0,0,"2012_11C","16_do_22_listopada_2012"
"Pomorskie",59,0.36,0,0,59,100,10,16.9,"2012_11C","16_do_22_listopada_2012"
"Śląskie",5,0.16,0,0,5,100,0,0,"2012_11C","16_do_22_listopada_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Wielkopolskie",16,0.24,0,0,15,93.8,1,6.3,"2012_11C","16_do_22_listopada_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_11C","16_do_22_listopada_2012"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Lubelskie",1,0.23,0,0,1,100,0,0,"2012_11D","23_do_30_listopada_2012"
"Lubuskie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Łódzkie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Małopolskie",24,0.28,0,0,24,100,0,0,"2012_11D","23_do_30_listopada_2012"
"Mazowieckie",21,0.18,0,0,21,100,0,0,"2012_11D","23_do_30_listopada_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Podlaskie",1,0.08,0,0,1,100,1,100,"2012_11D","23_do_30_listopada_2012"
"Pomorskie",37,0.2,2,5.4,36,97.3,7,18.9,"2012_11D","23_do_30_listopada_2012"
"Śląskie",2,0.07,0,0,2,100,0,0,"2012_11D","23_do_30_listopada_2012"
"Świętokrzyskie",1,0.32,0,0,1,100,1,100,"2012_11D","23_do_30_listopada_2012"
"Warmińsko-Mazurskie",1,0.28,0,0,1,100,0,0,"2012_11D","23_do_30_listopada_2012"
"Wielkopolskie",34,0.45,0,0,34,100,0,0,"2012_11D","23_do_30_listopada_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_11D","23_do_30_listopada_2012"
"Dolnośląskie",1,0.04,0,0,1,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Kujawsko-Pomorskie",1,0.15,0,0,1,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Lubelskie",2,0.42,0,0,2,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Lubuskie",1,0.8,0,0,1,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Łódzkie",1,0.02,0,0,1,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Małopolskie",23,0.26,0,0,23,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Mazowieckie",29,0.28,0,0,29,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_12A","1_do_7_grudnia_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_12A","1_do_7_grudnia_2012"
"Podlaskie",6,0.53,0,0,6,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Pomorskie",85,0.51,1,1.2,84,98.8,16,18.8,"2012_12A","1_do_7_grudnia_2012"
"Śląskie",5,0.18,0,0,5,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2012_12A","1_do_7_grudnia_2012"
"Warmińsko-Mazurskie",6,1.8,0,0,6,100,0,0,"2012_12A","1_do_7_grudnia_2012"
"Wielkopolskie",39,0.52,2,5.1,36,92.3,3,7.7,"2012_12A","1_do_7_grudnia_2012"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2012_12A","1_do_7_grudnia_2012"
"Dolnośląskie",4,0.18,0,0,4,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Kujawsko-Pomorskie",1,0.13,0,0,1,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Lubelskie",0,0,0,0,0,0,0,0,"2012_12B","8_do_15_grudnia_2012"
"Lubuskie",0,0,0,0,0,0,0,0,"2012_12B","8_do_15_grudnia_2012"
"Łódzkie",1,0.02,0,0,1,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Małopolskie",15,0.19,0,0,13,86.7,2,13.3,"2012_12B","8_do_15_grudnia_2012"
"Mazowieckie",33,0.34,0,0,33,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_12B","8_do_15_grudnia_2012"
"Podkarpackie",1,0.16,0,0,1,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Podlaskie",7,0.29,0,0,7,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Pomorskie",89,0.46,0,0,89,100,14,15.7,"2012_12B","8_do_15_grudnia_2012"
"Śląskie",6,0.19,0,0,6,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Świętokrzyskie",1,0.06,0,0,1,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Warmińsko-Mazurskie",7,2.24,0,0,7,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Wielkopolskie",38,0.51,0,0,35,92.1,3,7.9,"2012_12B","8_do_15_grudnia_2012"
"Zachodniopomorskie",1,0.17,0,0,1,100,0,0,"2012_12B","8_do_15_grudnia_2012"
"Dolnośląskie",1,0.04,0,0,1,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Kujawsko-Pomorskie",6,0.73,0,0,6,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Lubelskie",1,0.21,0,0,0,0,1,100,"2012_12C","16_do_22_grudnia_2012"
"Lubuskie",3,1.6,0,0,3,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Łódzkie",1,0.04,0,0,1,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Małopolskie",22,0.31,0,0,22,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Mazowieckie",36,0.29,0,0,36,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_12C","16_do_22_grudnia_2012"
"Podkarpackie",0,0,0,0,0,0,0,0,"2012_12C","16_do_22_grudnia_2012"
"Podlaskie",6,0.22,0,0,6,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Pomorskie",112,0.65,2,1.8,111,99.1,16,14.3,"2012_12C","16_do_22_grudnia_2012"
"Śląskie",7,0.17,0,0,5,71.4,2,28.6,"2012_12C","16_do_22_grudnia_2012"
"Świętokrzyskie",5,0.28,0,0,5,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Warmińsko-Mazurskie",5,1.6,0,0,5,100,0,0,"2012_12C","16_do_22_grudnia_2012"
"Wielkopolskie",35,0.43,1,2.9,34,97.1,0,0,"2012_12C","16_do_22_grudnia_2012"
"Zachodniopomorskie",4,0.72,0,0,4,100,3,75,"2012_12C","16_do_22_grudnia_2012"
"Dolnośląskie",2,0.08,0,0,2,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Kujawsko-Pomorskie",3,0.15,1,33.3,2,66.7,1,33.3,"2012_12D","23_do_31_grudnia_2012"
"Lubelskie",3,0.21,0,0,3,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Lubuskie",3,0.8,0,0,3,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Łódzkie",3,0.07,0,0,3,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Małopolskie",17,0.17,0,0,17,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Mazowieckie",65,0.59,1,1.5,63,96.9,1,1.5,"2012_12D","23_do_31_grudnia_2012"
"Opolskie",0,0,0,0,0,0,0,0,"2012_12D","23_do_31_grudnia_2012"
"Podkarpackie",2,0.19,1,50,0,0,1,50,"2012_12D","23_do_31_grudnia_2012"
"Podlaskie",6,0.19,0,0,5,83.3,1,16.7,"2012_12D","23_do_31_grudnia_2012"
"Pomorskie",154,0.7,20,13,135,87.7,39,25.3,"2012_12D","23_do_31_grudnia_2012"
"Śląskie",13,0.29,0,0,13,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Świętokrzyskie",8,0.47,1,12.5,7,87.5,1,12.5,"2012_12D","23_do_31_grudnia_2012"
"Warmińsko-Mazurskie",22,1.8,0,0,22,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Wielkopolskie",35,0.34,0,0,35,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Zachodniopomorskie",2,0.13,0,0,2,100,0,0,"2012_12D","23_do_31_grudnia_2012"
"Dolnośląskie",16,0.22,0,0,16,100,0,0,"2013_01A","1_do_7_stycznia_2013"
"Kujawsko-Pomorskie",14,0.46,1,7.1,12,85.7,4,28.6,"2013_01A","1_do_7_stycznia_2013"
"Lubelskie",17,0.62,1,5.9,15,88.2,1,5.9,"2013_01A","1_do_7_stycznia_2013"
"Lubuskie",2,0.19,0,0,1,50,1,50,"2013_01A","1_do_7_stycznia_2013"
"Łódzkie",20,0.18,0,0,20,100,0,0,"2013_01A","1_do_7_stycznia_2013"
"Małopolskie",73,0.5,3,4.1,65,89,7,9.6,"2013_01A","1_do_7_stycznia_2013"
"Mazowieckie",110,0.49,7,6.4,102,92.7,2,1.8,"2013_01A","1_do_7_stycznia_2013"
"Opolskie",4,0.16,0,0,4,100,0,0,"2013_01A","1_do_7_stycznia_2013"
"Podkarpackie",34,0.64,6,17.6,24,70.6,4,11.8,"2013_01A","1_do_7_stycznia_2013"
"Podlaskie",30,0.44,1,3.3,28,93.3,1,3.3,"2013_01A","1_do_7_stycznia_2013"
"Pomorskie",116,0.48,5,4.3,112,96.6,14,12.1,"2013_01A","1_do_7_stycznia_2013"
"Śląskie",30,0.32,4,13.3,24,80,3,10,"2013_01A","1_do_7_stycznia_2013"
"Świętokrzyskie",12,0.38,1,8.3,12,100,0,0,"2013_01A","1_do_7_stycznia_2013"
"Warmińsko-Mazurskie",27,0.95,0,0,25,92.6,2,7.4,"2013_01A","1_do_7_stycznia_2013"
"Wielkopolskie",63,0.43,2,3.2,62,98.4,1,1.6,"2013_01A","1_do_7_stycznia_2013"
"Zachodniopomorskie",11,0.3,0,0,7,63.6,4,36.4,"2013_01A","1_do_7_stycznia_2013"
"Dolnośląskie",72,0.45,0,0,68,94.4,4,5.6,"2013_01B","8_do_15_stycznia_2013"
"Kujawsko-Pomorskie",24,0.54,0,0,19,79.2,5,20.8,"2013_01B","8_do_15_stycznia_2013"
"Lubelskie",89,1.18,6,6.7,81,91,7,7.9,"2013_01B","8_do_15_stycznia_2013"
"Lubuskie",9,0.34,2,22.2,7,77.8,2,22.2,"2013_01B","8_do_15_stycznia_2013"
"Łódzkie",72,0.43,3,4.2,69,95.8,3,4.2,"2013_01B","8_do_15_stycznia_2013"
"Małopolskie",95,0.42,11,11.6,79,83.2,15,15.8,"2013_01B","8_do_15_stycznia_2013"
"Mazowieckie",154,0.64,3,1.9,144,93.5,10,6.5,"2013_01B","8_do_15_stycznia_2013"
"Opolskie",10,0.17,0,0,10,100,0,0,"2013_01B","8_do_15_stycznia_2013"
"Podkarpackie",120,0.85,11,9.2,106,88.3,7,5.8,"2013_01B","8_do_15_stycznia_2013"
"Podlaskie",40,0.41,1,2.5,39,97.5,1,2.5,"2013_01B","8_do_15_stycznia_2013"
"Pomorskie",133,0.43,9,6.8,125,94,18,13.5,"2013_01B","8_do_15_stycznia_2013"
"Śląskie",120,0.65,15,12.5,108,90,14,11.7,"2013_01B","8_do_15_stycznia_2013"
"Świętokrzyskie",49,0.96,10,20.4,45,91.8,13,26.5,"2013_01B","8_do_15_stycznia_2013"
"Warmińsko-Mazurskie",41,0.83,0,0,41,100,0,0,"2013_01B","8_do_15_stycznia_2013"
"Wielkopolskie",108,0.41,1,0.9,106,98.1,2,1.9,"2013_01B","8_do_15_stycznia_2013"
"Zachodniopomorskie",21,0.47,3,14.3,21,100,10,47.6,"2013_01B","8_do_15_stycznia_2013"
"Dolnośląskie",121,0.65,15,12.4,102,84.3,13,10.7,"2013_01C","16_do_22_stycznia_2013"
"Kujawsko-Pomorskie",68,1.24,5,7.4,44,64.7,22,32.4,"2013_01C","16_do_22_stycznia_2013"
"Lubelskie",133,1.36,11,8.3,119,89.5,23,17.3,"2013_01C","16_do_22_stycznia_2013"
"Lubuskie",22,0.72,4,18.2,20,90.9,1,4.5,"2013_01C","16_do_22_stycznia_2013"
"Łódzkie",89,0.54,10,11.2,79,88.8,2,2.2,"2013_01C","16_do_22_stycznia_2013"
"Małopolskie",118,0.55,10,8.5,107,90.7,3,2.5,"2013_01C","16_do_22_stycznia_2013"
"Mazowieckie",111,0.56,3,2.7,107,96.4,2,1.8,"2013_01C","16_do_22_stycznia_2013"
"Opolskie",6,0.1,1,16.7,6,100,0,0,"2013_01C","16_do_22_stycznia_2013"
"Podkarpackie",85,0.74,6,7.1,75,88.2,5,5.9,"2013_01C","16_do_22_stycznia_2013"
"Podlaskie",43,0.63,4,9.3,37,86,4,9.3,"2013_01C","16_do_22_stycznia_2013"
"Pomorskie",157,0.47,10,6.4,152,96.8,26,16.6,"2013_01C","16_do_22_stycznia_2013"
"Śląskie",98,0.52,12,12.2,68,69.4,19,19.4,"2013_01C","16_do_22_stycznia_2013"
"Świętokrzyskie",62,1.27,11,17.7,56,90.3,11,17.7,"2013_01C","16_do_22_stycznia_2013"
"Warmińsko-Mazurskie",31,0.67,2,6.5,28,90.3,1,3.2,"2013_01C","16_do_22_stycznia_2013"
"Wielkopolskie",150,0.65,4,2.7,142,94.7,11,7.3,"2013_01C","16_do_22_stycznia_2013"
"Zachodniopomorskie",29,0.55,0,0,29,100,8,27.6,"2013_01C","16_do_22_stycznia_2013"
"Dolnośląskie",204,1.04,6,2.9,182,89.2,47,23,"2013_01D","23_do_31_stycznia_2013"
"Kujawsko-Pomorskie",46,0.86,5,10.9,41,89.1,0,0,"2013_01D","23_do_31_stycznia_2013"
"Lubelskie",82,0.87,11,13.4,70,85.4,8,9.8,"2013_01D","23_do_31_stycznia_2013"
"Lubuskie",19,0.55,0,0,18,94.7,1,5.3,"2013_01D","23_do_31_stycznia_2013"
"Łódzkie",87,0.42,7,8,80,92,2,2.3,"2013_01D","23_do_31_stycznia_2013"
"Małopolskie",126,0.59,11,8.7,104,82.5,16,12.7,"2013_01D","23_do_31_stycznia_2013"
"Mazowieckie",105,0.53,6,5.7,101,96.2,0,0,"2013_01D","23_do_31_stycznia_2013"
"Opolskie",18,0.29,0,0,10,55.6,8,44.4,"2013_01D","23_do_31_stycznia_2013"
"Podkarpackie",131,1.46,24,18.3,110,84,1,0.8,"2013_01D","23_do_31_stycznia_2013"
"Podlaskie",35,0.67,5,14.3,34,97.1,0,0,"2013_01D","23_do_31_stycznia_2013"
"Pomorskie",118,0.28,10,8.5,115,97.5,19,16.1,"2013_01D","23_do_31_stycznia_2013"
"Śląskie",104,0.54,10,9.6,93,89.4,4,3.8,"2013_01D","23_do_31_stycznia_2013"
"Świętokrzyskie",53,1.44,6,11.3,47,88.7,11,20.8,"2013_01D","23_do_31_stycznia_2013"
"Warmińsko-Mazurskie",136,2.15,25,18.4,111,81.6,0,0,"2013_01D","23_do_31_stycznia_2013"
"Wielkopolskie",148,0.65,6,4.1,144,97.3,10,6.8,"2013_01D","23_do_31_stycznia_2013"
"Zachodniopomorskie",21,0.36,0,0,18,85.7,9,42.9,"2013_01D","23_do_31_stycznia_2013"
"Dolnośląskie",124,1.21,5,4,116,93.5,21,16.9,"2013_02A","1_do_7_lutego_2013"
"Kujawsko-Pomorskie",45,1.19,9,20,38,84.4,5,11.1,"2013_02A","1_do_7_lutego_2013"
"Lubelskie",66,1.35,6,9.1,56,84.8,6,9.1,"2013_02A","1_do_7_lutego_2013"
"Lubuskie",11,0.63,1,9.1,11,100,0,0,"2013_02A","1_do_7_lutego_2013"
"Łódzkie",51,0.33,0,0,50,98,1,2,"2013_02A","1_do_7_lutego_2013"
"Małopolskie",58,0.43,10,17.2,45,77.6,7,12.1,"2013_02A","1_do_7_lutego_2013"
"Mazowieckie",80,0.44,0,0,78,97.5,2,2.5,"2013_02A","1_do_7_lutego_2013"
"Opolskie",3,0.09,0,0,3,100,0,0,"2013_02A","1_do_7_lutego_2013"
"Podkarpackie",46,0.75,0,0,46,100,0,0,"2013_02A","1_do_7_lutego_2013"
"Podlaskie",23,0.49,1,4.3,22,95.7,0,0,"2013_02A","1_do_7_lutego_2013"
"Pomorskie",152,0.48,11,7.2,144,94.7,15,9.9,"2013_02A","1_do_7_lutego_2013"
"Śląskie",46,0.31,4,8.7,43,93.5,2,4.3,"2013_02A","1_do_7_lutego_2013"
"Świętokrzyskie",26,1.58,1,3.8,23,88.5,10,38.5,"2013_02A","1_do_7_lutego_2013"
"Warmińsko-Mazurskie",27,1.02,0,0,25,92.6,2,7.4,"2013_02A","1_do_7_lutego_2013"
"Wielkopolskie",107,0.76,11,10.3,103,96.3,15,14,"2013_02A","1_do_7_lutego_2013"
"Zachodniopomorskie",25,0.77,1,4,25,100,9,36,"2013_02A","1_do_7_lutego_2013"
"Dolnośląskie",92,1.21,3,3.3,84,91.3,11,12,"2013_02B","8_do_15_lutego_2013"
"Kujawsko-Pomorskie",28,0.63,3,10.7,21,75,4,14.3,"2013_02B","8_do_15_lutego_2013"
"Lubelskie",54,1.19,1,1.9,52,96.3,22,40.7,"2013_02B","8_do_15_lutego_2013"
"Lubuskie",9,0.39,0,0,8,88.9,1,11.1,"2013_02B","8_do_15_lutego_2013"
"Łódzkie",27,0.21,0,0,27,100,0,0,"2013_02B","8_do_15_lutego_2013"
"Małopolskie",49,0.34,2,4.1,43,87.8,5,10.2,"2013_02B","8_do_15_lutego_2013"
"Mazowieckie",78,0.61,0,0,78,100,0,0,"2013_02B","8_do_15_lutego_2013"
"Opolskie",0,0,0,0,0,0,0,0,"2013_02B","8_do_15_lutego_2013"
"Podkarpackie",17,0.48,0,0,17,100,0,0,"2013_02B","8_do_15_lutego_2013"
"Podlaskie",22,0.48,3,13.6,19,86.4,0,0,"2013_02B","8_do_15_lutego_2013"
"Pomorskie",155,0.47,5,3.2,147,94.8,16,10.3,"2013_02B","8_do_15_lutego_2013"
"Śląskie",30,0.29,1,3.3,28,93.3,1,3.3,"2013_02B","8_do_15_lutego_2013"
"Świętokrzyskie",29,1.63,4,13.8,27,93.1,6,20.7,"2013_02B","8_do_15_lutego_2013"
"Warmińsko-Mazurskie",23,0.87,2,8.7,21,91.3,0,0,"2013_02B","8_do_15_lutego_2013"
"Wielkopolskie",60,0.38,3,5,57,95,1,1.7,"2013_02B","8_do_15_lutego_2013"
"Zachodniopomorskie",8,0.34,1,12.5,7,87.5,4,50,"2013_02B","8_do_15_lutego_2013"
"Dolnośląskie",45,0.81,0,0,45,100,6,13.3,"2013_02C","16_do_22_lutego_2013"
"Kujawsko-Pomorskie",19,0.48,0,0,16,84.2,3,15.8,"2013_02C","16_do_22_lutego_2013"
"Lubelskie",16,0.52,0,0,16,100,1,6.3,"2013_02C","16_do_22_lutego_2013"
"Lubuskie",1,0.07,0,0,1,100,0,0,"2013_02C","16_do_22_lutego_2013"
"Łódzkie",20,0.19,1,5,19,95,0,0,"2013_02C","16_do_22_lutego_2013"
"Małopolskie",26,0.2,5,19.2,21,80.8,0,0,"2013_02C","16_do_22_lutego_2013"
"Mazowieckie",42,0.29,0,0,40,95.2,2,4.8,"2013_02C","16_do_22_lutego_2013"
"Opolskie",4,0.3,0,0,4,100,0,0,"2013_02C","16_do_22_lutego_2013"
"Podkarpackie",24,0.74,0,0,24,100,0,0,"2013_02C","16_do_22_lutego_2013"
"Podlaskie",8,0.21,0,0,8,100,0,0,"2013_02C","16_do_22_lutego_2013"
"Pomorskie",175,0.78,12,6.9,165,94.3,8,4.6,"2013_02C","16_do_22_lutego_2013"
"Śląskie",17,0.25,1,5.9,16,94.1,0,0,"2013_02C","16_do_22_lutego_2013"
"Świętokrzyskie",14,0.62,1,7.1,14,100,4,28.6,"2013_02C","16_do_22_lutego_2013"
"Warmińsko-Mazurskie",16,0.68,2,12.5,14,87.5,0,0,"2013_02C","16_do_22_lutego_2013"
