"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Lubelskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Lubuskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Łódzkie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Małopolskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Mazowieckie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Opolskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Podkarpackie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Podlaskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Pomorskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Śląskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Świętokrzyskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Wielkopolskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Dolnośląskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Lubelskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Lubuskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Łódzkie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Małopolskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Mazowieckie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Opolskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Podkarpackie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Podlaskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Pomorskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Śląskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Świętokrzyskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Wielkopolskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Dolnośląskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Lubelskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Lubuskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Łódzkie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Małopolskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Mazowieckie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Opolskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Podkarpackie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Podlaskie",0,0,0,0,0,"16-22","styczeń","2022","3","1C"
