"woj","suma","w_0-4","w_5_14","w_15_64","w_65","tydz","data"
"Lubelskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Lubuskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Łódzkie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Małopolskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Mazowieckie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Opolskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Podkarpackie",1,0,0,1,0,"2020_01C","16_do_22_stycznia_2020"
"Podlaskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Pomorskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Śląskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Wielkopolskie",1,0,0,0,1,"2020_01C","16_do_22_stycznia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Kujawsko-Pomorskie",1,0,0,0,1,"2020_01D","23_do_31_stycznia_2020"
"Lubelskie",3,0,0,0,3,"2020_01D","23_do_31_stycznia_2020"
"Lubuskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Łódzkie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Małopolskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Mazowieckie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Opolskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Podkarpackie",1,0,0,1,0,"2020_01D","23_do_31_stycznia_2020"
"Podlaskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Pomorskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Śląskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Wielkopolskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_01D","23_do_31_stycznia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Lubelskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Lubuskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Łódzkie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Małopolskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Mazowieckie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Opolskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Podkarpackie",1,0,1,0,0,"2020_02A","1_do_7_lutego_2020"
"Podlaskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Pomorskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Śląskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Wielkopolskie",1,0,0,0,1,"2020_02A","1_do_7_lutego_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_02A","1_do_7_lutego_2020"
"Dolnośląskie",2,0,0,0,2,"2020_02B","8_do_15_lutego_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Lubelskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Lubuskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Łódzkie",1,0,0,0,1,"2020_02B","8_do_15_lutego_2020"
"Małopolskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Mazowieckie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Opolskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Podkarpackie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Podlaskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Pomorskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Śląskie",1,0,1,0,0,"2020_02B","8_do_15_lutego_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Wielkopolskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_02B","8_do_15_lutego_2020"
"Dolnośląskie",1,0,0,1,0,"2020_02C","16_do_22_lutego_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Lubelskie",1,0,0,0,1,"2020_02C","16_do_22_lutego_2020"
"Lubuskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Łódzkie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Małopolskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Mazowieckie",3,0,0,1,2,"2020_02C","16_do_22_lutego_2020"
"Opolskie",1,0,0,1,0,"2020_02C","16_do_22_lutego_2020"
"Podkarpackie",1,0,0,0,1,"2020_02C","16_do_22_lutego_2020"
"Podlaskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Pomorskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Śląskie",1,0,0,1,0,"2020_02C","16_do_22_lutego_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Wielkopolskie",1,0,0,0,1,"2020_02C","16_do_22_lutego_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_02C","16_do_22_lutego_2020"
"Dolnośląskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Lubelskie",1,0,0,0,1,"2020_02D","23_do_29_lutego_2020"
"Lubuskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Łódzkie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Małopolskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Mazowieckie",4,0,0,1,3,"2020_02D","23_do_29_lutego_2020"
"Opolskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Podkarpackie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Podlaskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Pomorskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Śląskie",2,0,0,1,1,"2020_02D","23_do_29_lutego_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Wielkopolskie",1,0,0,0,1,"2020_02D","23_do_29_lutego_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_02D","23_do_29_lutego_2020"
"Dolnośląskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Kujawsko-Pomorskie",1,0,0,1,0,"2020_03A","1_do_7_marca_2020"
"Lubelskie",1,0,0,0,1,"2020_03A","1_do_7_marca_2020"
"Lubuskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Łódzkie",1,0,1,0,0,"2020_03A","1_do_7_marca_2020"
"Małopolskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Mazowieckie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Opolskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Podkarpackie",2,0,0,2,0,"2020_03A","1_do_7_marca_2020"
"Podlaskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Pomorskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Śląskie",1,0,0,1,0,"2020_03A","1_do_7_marca_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Wielkopolskie",1,0,0,0,1,"2020_03A","1_do_7_marca_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_03A","1_do_7_marca_2020"
"Dolnośląskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Kujawsko-Pomorskie",1,0,0,0,1,"2020_03B","8_do_15_marca_2020"
"Lubelskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Lubuskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Łódzkie",1,0,0,0,1,"2020_03B","8_do_15_marca_2020"
"Małopolskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Mazowieckie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Opolskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Podkarpackie",2,0,0,1,1,"2020_03B","8_do_15_marca_2020"
"Podlaskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Pomorskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Śląskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_03B","8_do_15_marca_2020"
"Wielkopolskie",2,0,0,1,1,"2020_03B","8_do_15_marca_2020"
"Zachodniopomorskie",1,0,0,1,0,"2020_03B","8_do_15_marca_2020"
"Dolnośląskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Lubelskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Lubuskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Łódzkie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Małopolskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Mazowieckie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Opolskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Podkarpackie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Podlaskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Pomorskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Śląskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Wielkopolskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_03C","16_do_22_marca_2020"
"Dolnośląskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Lubelskie",1,0,0,0,1,"2020_03D","23_do_31_marca_2020"
"Lubuskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Łódzkie",1,0,1,0,0,"2020_03D","23_do_31_marca_2020"
"Małopolskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Mazowieckie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Opolskie",1,0,0,1,0,"2020_03D","23_do_31_marca_2020"
"Podkarpackie",2,0,0,1,1,"2020_03D","23_do_31_marca_2020"
"Podlaskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Pomorskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Śląskie",1,0,0,0,1,"2020_03D","23_do_31_marca_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Wielkopolskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_03D","23_do_31_marca_2020"
"Dolnośląskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Lubelskie",1,0,0,0,1,"2020_04A","1_do_7_kwietnia_2020"
"Lubuskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Łódzkie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Małopolskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Mazowieckie",1,0,0,0,1,"2020_04A","1_do_7_kwietnia_2020"
"Opolskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Podkarpackie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Podlaskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Pomorskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Śląskie",1,0,0,0,1,"2020_04A","1_do_7_kwietnia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Wielkopolskie",1,0,0,0,1,"2020_04A","1_do_7_kwietnia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_04A","1_do_7_kwietnia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Lubelskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Lubuskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Łódzkie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Małopolskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Mazowieckie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Opolskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Podkarpackie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Podlaskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Pomorskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Śląskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Wielkopolskie",1,0,0,0,1,"2020_04B","8_do_15_kwietnia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_04B","8_do_15_kwietnia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Lubelskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Lubuskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Łódzkie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Małopolskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Mazowieckie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Opolskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Podkarpackie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Podlaskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Pomorskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Śląskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Wielkopolskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_04C","16_do_22_kwietnia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Kujawsko-Pomorskie",1,0,1,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Lubelskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Lubuskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Łódzkie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Małopolskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Mazowieckie",2,0,0,0,2,"2020_04D","23_do_30_kwietnia_2020"
"Opolskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Podkarpackie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Podlaskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Pomorskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Śląskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Wielkopolskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_04D","23_do_30_kwietnia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Lubelskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Lubuskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Łódzkie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Małopolskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Mazowieckie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Opolskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Podkarpackie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Podlaskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Pomorskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Śląskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Wielkopolskie",0,0,0,0,0,"2020_05A","1_do_7_maja_2020"
"Zachodniopomorskie",1,0,0,0,1,"2020_05A","1_do_7_maja_2020"
"Dolnośląskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Lubelskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Lubuskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Łódzkie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Małopolskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Mazowieckie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Opolskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Podkarpackie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Podlaskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Pomorskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Śląskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Wielkopolskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_05B","8_do_15_maja_2020"
"Dolnośląskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Lubelskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Lubuskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Łódzkie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Małopolskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Mazowieckie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Opolskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Podkarpackie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Podlaskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Pomorskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Śląskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Wielkopolskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_05C","16_do_22_maja_2020"
"Dolnośląskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Lubelskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Lubuskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Łódzkie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Małopolskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Mazowieckie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Opolskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Podkarpackie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Podlaskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Pomorskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Śląskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Wielkopolskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_05D","23_do_31_maja_2020"
"Dolnośląskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Lubelskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Lubuskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Łódzkie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Małopolskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Mazowieckie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Opolskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Podkarpackie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Podlaskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Pomorskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Śląskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Wielkopolskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_06A","1_do_7_czerwca_2020"
"Dolnośląskie",0,0,0,0,0,"2020_06B","8_do_15_czerwca_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_06B","8_do_15_czerwca_2020"
"Lubelskie",0,0,0,0,0,"2020_06B","8_do_15_czerwca_2020"
"Lubuskie",0,0,0,0,0,"2020_06B","8_do_15_czerwca_2020"
"Łódzkie",0,0,0,0,0,"2020_06B","8_do_15_czerwca_2020"
