"woj","suma","w_0-4","w_5_14","w_15_64","w_65","tydz","data"
"Dolnośląskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Lubelskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Lubuskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Łódzkie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Małopolskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Mazowieckie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Opolskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Podkarpackie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Podlaskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Pomorskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Śląskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Wielkopolskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_01A","1_do_7_stycznia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Kujawsko-Pomorskie",1,0,0,0,1,"2020_01B","8_do_15_stycznia_2020"
"Lubelskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Lubuskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Łódzkie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Małopolskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Mazowieckie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Opolskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Podkarpackie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Podlaskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Pomorskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Śląskie",2,0,0,0,2,"2020_01B","8_do_15_stycznia_2020"
"Świętokrzyskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Warmińsko-Mazurskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Wielkopolskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Zachodniopomorskie",0,0,0,0,0,"2020_01B","8_do_15_stycznia_2020"
"Dolnośląskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
"Kujawsko-Pomorskie",0,0,0,0,0,"2020_01C","16_do_22_stycznia_2020"
