"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",5532,21.31,2.39,840,68.97,977,37.82,3089,18.18,626,12.13,"23-31","styczeń","2022","4","1D"
"Kujawsko-Pomorskie",5390,29.15,3.24,1128,130.78,833,43.32,2820,22.97,609,17.79,"23-31","styczeń","2022","4","1D"
"Lubelskie",3250,17.31,-1.95,568,66.35,715,37.85,1628,13.12,339,9.36,"23-31","styczeń","2022","4","1D"
"Lubuskie",710,7.86,0.15,206,49.53,154,16.13,303,5.06,47,2.82,"23-31","styczeń","2022","4","1D"
"Łódzkie",3856,17.65,-0.73,786,79.81,735,34.1,1900,13.44,435,9.54,"23-31","styczeń","2022","4","1D"
"Małopolskie",7713,25.14,-1.76,1547,93.22,1072,32.36,4234,20.83,860,15.99,"23-31","styczeń","2022","4","1D"
"Mazowieckie",20574,42.18,11.67,3539,132.36,4098,76.02,10927,34.58,2010,22.05,"23-31","styczeń","2022","4","1D"
"Opolskie",1305,14.9,1.69,199,52.59,166,20.72,843,14.38,97,5.65,"23-31","styczeń","2022","4","1D"
"Podkarpackie",2648,13.91,2.31,364,39.3,411,21.05,1491,11.63,382,11.45,"23-31","styczeń","2022","4","1D"
"Podlaskie",1628,15.47,2.6,268,52.84,278,26.78,937,13.3,145,7.49,"23-31","styczeń","2022","4","1D"
"Pomorskie",19607,92.86,22.83,4477,381.86,3903,163.7,9910,71.61,1317,35.42,"23-31","styczeń","2022","4","1D"
"Śląskie",12363,30.71,5.51,2162,117.58,2321,57.71,6907,26.21,973,12.1,"23-31","styczeń","2022","4","1D"
"Świętokrzyskie",1331,12.14,-0.11,292,64.23,225,21.52,660,9.14,154,6.86,"23-31","styczeń","2022","4","1D"
"Warmińsko-Mazurskie",1772,13.96,0.86,319,54.72,373,27.85,871,10.18,209,9.41,"23-31","styczeń","2022","4","1D"
"Wielkopolskie",12410,39.49,3.49,2695,159.2,1983,56.52,6631,31.98,1101,20.07,"23-31","styczeń","2022","4","1D"
"Zachodniopomorskie",891,5.89,0.47,143,21.43,223,14.75,440,4.4,85,2.88,"23-31","styczeń","2022","4","1D"
"Dolnośląskie",4264,21.12,-0.19,688,72.63,535,26.63,2493,18.86,548,13.65,"1-7","luty","2022","5","2A"
"Kujawsko-Pomorskie",4668,32.46,3.31,823,122.68,794,53.09,2469,25.85,582,21.86,"1-7","luty","2022","5","2A"
"Lubelskie",2931,20.07,2.76,625,93.86,589,40.09,1478,15.31,239,8.48,"1-7","luty","2022","5","2A"
"Lubuskie",676,9.63,1.76,152,46.99,116,15.62,384,8.24,24,1.85,"1-7","luty","2022","5","2A"
"Łódzkie",3895,22.93,5.27,730,95.3,632,37.7,2122,19.29,411,11.59,"1-7","luty","2022","5","2A"
"Małopolskie",7293,30.57,5.42,1573,121.87,968,37.57,3892,24.62,860,20.56,"1-7","luty","2022","5","2A"
"Mazowieckie",14194,37.41,-4.77,2676,128.67,2327,55.5,7800,31.74,1391,19.62,"1-7","luty","2022","5","2A"
"Opolskie",1050,15.41,0.51,217,73.73,116,18.61,616,13.51,101,7.56,"1-7","luty","2022","5","2A"
"Podkarpackie",1227,8.29,-5.62,249,34.57,214,14.09,621,6.23,143,5.51,"1-7","luty","2022","5","2A"
"Podlaskie",1527,18.65,3.19,246,62.36,212,26.26,894,16.32,175,11.62,"1-7","luty","2022","5","2A"
"Pomorskie",14331,87.26,-5.6,3326,364.74,2651,142.96,7177,66.67,1177,40.7,"1-7","luty","2022","5","2A"
"Śląskie",9363,29.91,-0.81,1594,111.45,1430,45.71,5412,26.4,927,14.83,"1-7","luty","2022","5","2A"
"Świętokrzyskie",2611,30.62,18.48,548,154.98,481,59.16,1298,23.12,284,16.26,"1-7","luty","2022","5","2A"
"Warmińsko-Mazurskie",1530,15.49,1.54,314,69.25,305,29.28,705,10.6,206,11.93,"1-7","luty","2022","5","2A"
"Wielkopolskie",13157,53.83,14.34,2524,191.69,2733,100.16,6479,40.17,1421,33.3,"1-7","luty","2022","5","2A"
"Zachodniopomorskie",770,6.54,0.65,122,23.51,146,12.41,433,5.56,69,3.01,"1-7","luty","2022","5","2A"
"Dolnośląskie",4354,18.87,-2.25,697,64.38,555,24.17,2436,16.13,666,14.51,"8-15","luty","2022","6","2B"
"Kujawsko-Pomorskie",5531,33.66,1.19,1026,133.83,1101,64.42,2756,25.25,648,21.3,"8-15","luty","2022","6","2B"
"Lubelskie",3519,21.08,1.01,757,99.48,585,34.84,1844,16.72,333,10.34,"8-15","luty","2022","6","2B"
"Lubuskie",841,10.48,0.85,244,66,200,23.56,342,6.42,55,3.71,"8-15","luty","2022","6","2B"
"Łódzkie",3868,19.92,-3.01,795,90.81,631,32.94,1872,14.89,570,14.06,"8-15","luty","2022","6","2B"
"Małopolskie",6402,23.48,-7.09,1406,95.32,1015,34.47,3351,18.55,630,13.18,"8-15","luty","2022","6","2B"
"Mazowieckie",13701,31.6,-5.81,2731,114.9,1882,39.28,7449,26.52,1639,20.23,"8-15","luty","2022","6","2B"
"Opolskie",990,12.71,-2.7,209,62.14,114,16.01,528,10.13,139,9.11,"8-15","luty","2022","6","2B"
"Podkarpackie",1855,10.96,2.67,336,40.82,334,19.25,980,8.6,205,6.91,"8-15","luty","2022","6","2B"
"Podlaskie",910,9.73,-8.93,146,32.38,150,16.26,492,7.86,122,7.09,"8-15","luty","2022","6","2B"
"Pomorskie",14155,75.42,-11.85,3514,337.19,2694,127.12,6620,53.81,1327,40.15,"8-15","luty","2022","6","2B"
"Śląskie",8704,24.33,-5.58,1864,114.04,1298,36.31,4495,19.19,1047,14.65,"8-15","luty","2022","6","2B"
"Świętokrzyskie",1557,15.98,-14.64,299,73.99,285,30.67,757,11.8,216,10.82,"8-15","luty","2022","6","2B"
"Warmińsko-Mazurskie",2339,20.73,5.23,303,58.47,434,36.46,1300,17.1,302,15.3,"8-15","luty","2022","6","2B"
"Wielkopolskie",11427,40.91,-12.92,2551,169.53,2146,68.82,5717,31.02,1013,20.77,"8-15","luty","2022","6","2B"
"Zachodniopomorskie",696,5.17,-1.37,117,19.73,103,7.66,410,4.61,66,2.52,"8-15","luty","2022","6","2B"
"Dolnośląskie",3980,19.71,0.84,794,83.82,655,32.6,1975,14.94,556,13.85,"16-22","luty","2022","7","2C"
"Kujawsko-Pomorskie",4398,30.59,-3.07,890,132.67,940,62.85,2052,21.49,516,19.38,"16-22","luty","2022","7","2C"
"Lubelskie",1882,12.89,-8.2,360,54.06,283,19.26,980,10.15,259,9.19,"16-22","luty","2022","7","2C"
"Lubuskie",414,5.9,-4.58,107,33.08,123,16.56,169,3.63,15,1.16,"16-22","luty","2022","7","2C"
"Łódzkie",2370,13.95,-5.97,563,73.5,398,23.74,1115,10.14,294,8.29,"16-22","luty","2022","7","2C"
"Małopolskie",5676,23.79,0.31,1524,118.07,1201,46.62,2341,14.81,610,14.58,"16-22","luty","2022","7","2C"
"Mazowieckie",10196,26.87,-4.72,2137,102.76,1654,39.45,5164,21.01,1241,17.51,"16-22","luty","2022","7","2C"
"Opolskie",740,10.86,-1.85,187,63.54,97,15.56,372,8.16,84,6.29,"16-22","luty","2022","7","2C"
"Podkarpackie",832,5.62,-5.34,228,31.65,180,11.85,337,3.38,87,3.35,"16-22","luty","2022","7","2C"
"Podlaskie",838,10.24,0.51,134,33.97,174,21.55,431,7.87,99,6.57,"16-22","luty","2022","7","2C"
"Pomorskie",9890,60.22,-15.2,2738,300.26,1754,94.59,4382,40.71,1016,35.13,"16-22","luty","2022","7","2C"
"Śląskie",6020,19.23,-5.1,1413,98.8,911,29.12,2861,13.96,835,13.36,"16-22","luty","2022","7","2C"
"Świętokrzyskie",963,11.29,-4.68,212,59.96,184,22.63,469,8.36,98,5.61,"16-22","luty","2022","7","2C"
"Warmińsko-Mazurskie",1782,18.05,-2.68,254,56.02,455,43.69,861,12.94,212,12.28,"16-22","luty","2022","7","2C"
"Wielkopolskie",11621,47.55,6.64,2564,194.73,2224,81.51,5657,35.08,1176,27.56,"16-22","luty","2022","7","2C"
"Zachodniopomorskie",538,4.57,-0.6,80,15.41,94,7.99,297,3.82,67,2.92,"16-22","luty","2022","7","2C"
"Dolnośląskie",2226,12.86,-6.85,393,48.4,445,25.84,1059,9.35,329,9.56,"23-28","luty","2022","8","2D"
"Kujawsko-Pomorskie",3784,30.7,0.12,796,138.44,875,68.26,1662,20.3,451,19.76,"23-28","luty","2022","8","2D"
"Lubelskie",1574,12.57,-0.31,357,62.55,260,20.65,761,9.2,196,8.11,"23-28","luty","2022","8","2D"
"Lubuskie",743,12.34,6.42,185,66.72,179,28.12,325,8.14,54,4.86,"23-28","luty","2022","8","2D"
"Łódzkie",2379,16.34,2.39,493,75.08,372,25.89,1151,12.21,363,11.94,"23-28","luty","2022","8","2D"
"Małopolskie",4295,21,-2.79,1072,96.9,963,43.61,1772,13.08,488,13.61,"23-28","luty","2022","8","2D"
"Mazowieckie",9736,29.94,3.06,2282,128.02,2040,56.77,4252,20.18,1162,19.12,"23-28","luty","2022","8","2D"
"Opolskie",742,12.71,1.84,191,75.72,141,26.4,351,8.98,59,5.16,"23-28","luty","2022","8","2D"
"Podkarpackie",1014,7.99,2.37,235,38.06,217,16.67,433,5.06,129,5.8,"23-28","luty","2022","8","2D"
"Podlaskie",952,13.57,3.33,195,57.67,213,30.78,431,9.18,113,8.75,"23-28","luty","2022","8","2D"
