"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Wielkopolskie",224,0.63,4,1.8,218,97.3,34,15.2,"23-31","styczeń",2020,4,"1D"
"Zachodniopomorskie",50,1.4,0,0,48,96,10,20,"23-31","styczeń",2020,4,"1D"
"Dolnośląskie",111,0.71,1,0.9,109,98.2,11,9.9,"1-7","luty",2020,5,"2A"
"Kujawsko-Pomorskie",67,0.67,7,10.4,55,82.1,8,11.9,"1-7","luty",2020,5,"2A"
"Lubelskie",84,1,0,0,84,100,5,6,"1-7","luty",2020,5,"2A"
"Lubuskie",13,0.76,0,0,13,100,2,15.4,"1-7","luty",2020,5,"2A"
"Łódzkie",51,0.46,0,0,51,100,0,0,"1-7","luty",2020,5,"2A"
"Małopolskie",142,0.69,11,7.7,124,87.3,33,23.2,"1-7","luty",2020,5,"2A"
"Mazowieckie",133,0.31,0,0,123,92.5,11,8.3,"1-7","luty",2020,5,"2A"
"Opolskie",1,0.05,0,0,1,100,0,0,"1-7","luty",2020,5,"2A"
"Podkarpackie",21,0.53,0,0,21,100,0,0,"1-7","luty",2020,5,"2A"
"Podlaskie",22,0.75,0,0,22,100,0,0,"1-7","luty",2020,5,"2A"
"Pomorskie",51,0.22,0,0,48,94.1,11,21.6,"1-7","luty",2020,5,"2A"
"Śląskie",71,0.51,5,7,69,97.2,0,0,"1-7","luty",2020,5,"2A"
"Świętokrzyskie",83,2.22,0,0,83,100,0,0,"1-7","luty",2020,5,"2A"
"Warmińsko-Mazurskie",22,0.79,0,0,22,100,0,0,"1-7","luty",2020,5,"2A"
"Wielkopolskie",162,0.61,4,2.5,155,95.7,13,8,"1-7","luty",2020,5,"2A"
"Zachodniopomorskie",69,1.76,1.4,0,64,92.8,20,29,"1-7","luty",2020,5,"2A"
"Dolnośląskie",98,0.82,2,2,96,98,4,4.1,"8-15","luty",2020,6,"2B"
"Kujawsko-Pomorskie",73,0.81,11,15.1,61,83.6,5,6.8,"8-15","luty",2020,6,"2B"
"Lubelskie",181,1.59,0,0,175,96.7,22,12.2,"8-15","luty",2020,6,"2B"
"Lubuskie",12,0.77,0,0,12,100,0,0,"8-15","luty",2020,6,"2B"
"Łódzkie",53,0.45,9,17,42,79.2,2,3.8,"8-15","luty",2020,6,"2B"
"Małopolskie",123,0.63,1,0.8,83,67.5,59,48,"8-15","luty",2020,6,"2B"
"Mazowieckie",210,0.57,3,1.4,201,95.7,8,3.8,"8-15","luty",2020,6,"2B"
"Opolskie",9,0.38,0,0,8,88.9,1,11.1,"8-15","luty",2020,6,"2B"
"Podkarpackie",62,1.38,7,11.3,35,56.5,27,43.5,"8-15","luty",2020,6,"2B"
"Podlaskie",21,0.59,0,0,21,100,1,4.8,"8-15","luty",2020,6,"2B"
"Pomorskie",125,0.42,12,9.6,111,88.8,12,9.6,"8-15","luty",2020,6,"2B"
"Śląskie",78,0.39,7,9,78,100,0,0,"8-15","luty",2020,6,"2B"
"Świętokrzyskie",82,1.72,1,1.2,81,98.8,8,9.8,"8-15","luty",2020,6,"2B"
"Warmińsko-Mazurskie",19,0.44,0,0,19,100,0,0,"8-15","luty",2020,6,"2B"
"Wielkopolskie",136,0.54,3,2.2,131,96.3,8,5.9,"8-15","luty",2020,6,"2B"
"Zachodniopomorskie",43,1.02,0,0,43,100,18,41.9,"8-15","luty",2020,6,"2B"
"Dolnośląskie",84,0.88,1,1.2,83,98.8,2,2.4,"16-22","luty",2020,7,"2C"
"Kujawsko-Pomorskie",83,0.83,5,6,75,90.4,7,8.4,"16-22","luty",2020,7,"2C"
"Lubelskie",177,1.26,1,0.6,168,94.9,18,10.2,"16-22","luty",2020,7,"2C"
"Lubuskie",12,0.64,0,0,12,100,0,0,"16-22","luty",2020,7,"2C"
"Łódzkie",87,0.55,1,1.1,80,92,6,6.9,"16-22","luty",2020,7,"2C"
"Małopolskie",126,0.75,0,0,95,75.4,37,29.4,"16-22","luty",2020,7,"2C"
"Mazowieckie",356,0.99,15,4.2,339,95.2,3,0.8,"16-22","luty",2020,7,"2C"
"Opolskie",3,0.14,0,0,3,100,1,33.3,"16-22","luty",2020,7,"2C"
"Podkarpackie",69,1.05,3,4.3,39,56.5,29,42,"16-22","luty",2020,7,"2C"
"Podlaskie",61,1.17,1,1.6,61,100,2,3.3,"16-22","luty",2020,7,"2C"
"Pomorskie",119,0.35,4,3.4,118,99.2,19,16,"16-22","luty",2020,7,"2C"
"Śląskie",111,0.47,3,2.7,104,93.7,14,12.6,"16-22","luty",2020,7,"2C"
"Świętokrzyskie",53,1.49,0,0,52,98.1,1,1.9,"16-22","luty",2020,7,"2C"
"Warmińsko-Mazurskie",44,0.77,0,0,44,100,0,0,"16-22","luty",2020,7,"2C"
"Wielkopolskie",149,0.6,2,1.3,145,97.3,13,8.7,"16-22","luty",2020,7,"2C"
"Zachodniopomorskie",48,1.69,0,0,47,97.9,35,72.9,"16-22","luty",2020,7,"2C"
"Dolnośląskie",49,0.47,1,2,49,100,4,8.2,"23-29","luty",2020,8,"2D"
"Kujawsko-Pomorskie",105,0.83,3,2.9,99,94.3,12,11.4,"23-29","luty",2020,8,"2D"
"Lubelskie",150,1.14,3,2,147,98,6,4,"23-29","luty",2020,8,"2D"
"Lubuskie",11,0.47,0,0,10,90.9,1,9.1,"23-29","luty",2020,8,"2D"
"Łódzkie",97,0.59,0,0,96,99,1,1,"23-29","luty",2020,8,"2D"
"Małopolskie",114,0.62,2,1.8,67,58.8,54,47.4,"23-29","luty",2020,8,"2D"
"Mazowieckie",229,0.8,3,1.3,207,90.4,21,9.2,"23-29","luty",2020,8,"2D"
"Opolskie",2,0.13,0,0,2,100,0,0,"23-29","luty",2020,8,"2D"
"Podkarpackie",79,1.18,1,1.3,55,69.6,26,32.9,"23-29","luty",2020,8,"2D"
"Podlaskie",59,0.75,0,0,57,96.6,4,6.8,"23-29","luty",2020,8,"2D"
"Pomorskie",145,0.44,10,6.9,128,88.3,30,20.7,"23-29","luty",2020,8,"2D"
"Śląskie",135,0.63,2,1.5,132,97.8,4,3,"23-29","luty",2020,8,"2D"
"Świętokrzyskie",130,3.29,1,0.8,123,94.6,17,13.1,"23-29","luty",2020,8,"2D"
"Warmińsko-Mazurskie",67,0.85,0,0,67,100,0,0,"23-29","luty",2020,8,"2D"
"Wielkopolskie",162,0.57,2,1.2,155,95.7,8,4.9,"23-29","luty",2020,8,"2D"
"Zachodniopomorskie",52,1.81,0,0,50,96.2,35,67.3,"23-29","luty",2020,8,"2D"
"Dolnośląskie",66,0.64,2,3,63,95.5,3,4.5,"1-7","marzec",2020,9,"3A"
"Kujawsko-Pomorskie",95,0.76,4,4.2,81,85.3,32,33.7,"1-7","marzec",2020,9,"3A"
"Lubelskie",124,1.11,0,0,122,98.4,17,13.7,"1-7","marzec",2020,9,"3A"
"Lubuskie",19,0.64,1,5.3,15,78.9,5,26.3,"1-7","marzec",2020,9,"3A"
"Łódzkie",70,0.44,1,1.4,68,97.1,1,1.4,"1-7","marzec",2020,9,"3A"
"Małopolskie",91,0.52,2,2.2,59,64.8,31,34.1,"1-7","marzec",2020,9,"3A"
"Mazowieckie",195,0.8,1,0.5,190,97.4,4,2.1,"1-7","marzec",2020,9,"3A"
"Opolskie",5,0.24,0,0,5,100,0,0,"1-7","marzec",2020,9,"3A"
"Podkarpackie",155,1.97,0,0,124,80,51,32.9,"1-7","marzec",2020,9,"3A"
"Podlaskie",73,1.15,0,0,73,100,4,5.5,"1-7","marzec",2020,9,"3A"
"Pomorskie",150,0.46,0,0,139,92.7,27,18,"1-7","marzec",2020,9,"3A"
"Śląskie",116,0.48,0,0,115,99.1,7,6,"1-7","marzec",2020,9,"3A"
"Świętokrzyskie",46,1.13,0,0,45,97.8,8,17.4,"1-7","marzec",2020,9,"3A"
"Warmińsko-Mazurskie",100,1.45,0,0,100,100,0,0,"1-7","marzec",2020,9,"3A"
