"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","maj",2020,18,"5B"
"Podkarpackie",2,1.28,0,0,2,100,0,0,"8-15","maj",2020,18,"5B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","maj",2020,18,"5B"
"Pomorskie",9,0.32,2,22.2,9,100,2,22.2,"8-15","maj",2020,18,"5B"
"Śląskie",7,0.2,0,0,7,100,0,0,"8-15","maj",2020,18,"5B"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"8-15","maj",2020,18,"5B"
"Warmińsko-Mazurskie",14,6.8,0,0,14,100,0,0,"8-15","maj",2020,18,"5B"
"Wielkopolskie",15,0.66,0,0,14,93.3,1,6.7,"8-15","maj",2020,18,"5B"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"8-15","maj",2020,18,"5B"
"Dolnośląskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Lubelskie",1,0.36,0,0,1,100,0,0,"16-22","maj",2020,19,"5C"
"Lubuskie",5,6.41,1,20,2,40,3,60,"16-22","maj",2020,19,"5C"
"Łódzkie",1,0.4,0,0,1,100,0,0,"16-22","maj",2020,19,"5C"
"Małopolskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Mazowieckie",11,0.46,0,0,9,81.8,2,18.2,"16-22","maj",2020,19,"5C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Podkarpackie",1,0.95,0,0,1,100,0,0,"16-22","maj",2020,19,"5C"
"Podlaskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Pomorskie",6,0.3,0,0,6,100,0,0,"16-22","maj",2020,19,"5C"
"Śląskie",2,0.2,0,0,2,100,0,0,"16-22","maj",2020,19,"5C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Warmińsko-Mazurskie",0,0,0,0,0,0,0,0,"16-22","maj",2020,19,"5C"
"Wielkopolskie",2,0.1,0,0,2,100,0,0,"16-22","maj",2020,19,"5C"
"Zachodniopomorskie",1,1.01,0,0,1,100,0,0,"16-22","maj",2020,19,"5C"
"Dolnośląskie",2,0.26,0,0,2,100,0,0,"23-31","maj",2020,20,"5D"
"Kujawsko-Pomorskie",1,0.17,0,0,1,100,0,0,"23-31","maj",2020,20,"5D"
"Lubelskie",3,1.29,0,0,3,100,0,0,"23-31","maj",2020,20,"5D"
"Lubuskie",12,12.37,4,33.3,6,50,2,16.7,"23-31","maj",2020,20,"5D"
"Łódzkie",1,0.25,0,0,1,100,0,0,"23-31","maj",2020,20,"5D"
"Małopolskie",0,0,0,0,0,0,0,0,"23-31","maj",2020,20,"5D"
"Mazowieckie",14,0.75,3,21.4,2,14.3,9,64.3,"23-31","maj",2020,20,"5D"
"Opolskie",0,0,0,0,0,0,0,0,"23-31","maj",2020,20,"5D"
"Podkarpackie",2,3.08,0,0,2,100,0,0,"23-31","maj",2020,20,"5D"
"Podlaskie",0,0,0,0,0,0,0,0,"23-31","maj",2020,20,"5D"
"Pomorskie",11,0.62,0,0,11,100,0,0,"23-31","maj",2020,20,"5D"
"Śląskie",1,0.09,0,0,1,100,0,0,"23-31","maj",2020,20,"5D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-31","maj",2020,20,"5D"
"Warmińsko-Mazurskie",13,6.84,0,0,13,100,0,0,"23-31","maj",2020,20,"5D"
"Wielkopolskie",7,0.5,0,0,7,100,0,0,"23-31","maj",2020,20,"5D"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"23-31","maj",2020,20,"5D"
"Dolnośląskie",1,0.17,0,0,1,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Kujawsko-Pomorskie",1,0.2,0,0,1,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Lubelskie",2,0.7,0,0,2,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Lubuskie",5,7.69,1,20,4,80,0,0,"1-7","czerwiec",2020,21,"6A"
"Łódzkie",3,1.17,0,0,3,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Małopolskie",0,0,0,0,0,0,0,0,"1-7","czerwiec",2020,21,"6A"
"Mazowieckie",1,0.05,0,0,1,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","czerwiec",2020,21,"6A"
"Podkarpackie",0,0,0,0,0,0,0,0,"1-7","czerwiec",2020,21,"6A"
"Podlaskie",1,2.27,0,0,1,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Pomorskie",21,1.13,3,14.3,20,95.2,4,19,"1-7","czerwiec",2020,21,"6A"
"Śląskie",3,0.28,0,0,3,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"1-7","czerwiec",2020,21,"6A"
"Warmińsko-Mazurskie",13,6.91,0,0,13,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Wielkopolskie",6,0.35,0,0,6,100,0,0,"1-7","czerwiec",2020,21,"6A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","czerwiec",2020,21,"6A"
"Dolnośląskie",5,0.96,0,0,5,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"8-15","czerwiec",2020,22,"6B"
"Lubelskie",2,0.97,0,0,2,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Lubuskie",0,0,0,0,0,0,0,0,"8-15","czerwiec",2020,22,"6B"
"Łódzkie",1,0.35,0,0,1,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Małopolskie",5,0.88,0,0,4,80,1,20,"8-15","czerwiec",2020,22,"6B"
"Mazowieckie",4,0.22,2,50,1,25,1,25,"8-15","czerwiec",2020,22,"6B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","czerwiec",2020,22,"6B"
"Podkarpackie",1,1.25,0,0,1,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","czerwiec",2020,22,"6B"
"Pomorskie",20,1.05,0,0,18,90,3,15,"8-15","czerwiec",2020,22,"6B"
"Śląskie",4,0.44,0,0,4,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Świętokrzyskie",1,0.71,0,0,1,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Warmińsko-Mazurskie",7,3.68,0,0,7,100,0,0,"8-15","czerwiec",2020,22,"6B"
"Wielkopolskie",7,0.52,1,14.3,5,71.4,1,14.3,"8-15","czerwiec",2020,22,"6B"
"Zachodniopomorskie",1,1.49,100,0,1,100,1,100,"8-15","czerwiec",2020,22,"6B"
"Dolnośląskie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Kujawsko-Pomorskie",2,0.45,0,0,2,100,0,0,"16-22","czerwiec",2020,23,"6C"
"Lubelskie",1,0.66,0,0,1,100,0,0,"16-22","czerwiec",2020,23,"6C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Łódzkie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Małopolskie",2,0.42,0,0,1,50,1,50,"16-22","czerwiec",2020,23,"6C"
"Mazowieckie",6,0.44,0,0,5,83.3,1,16.7,"16-22","czerwiec",2020,23,"6C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Podkarpackie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Podlaskie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Pomorskie",12,0.81,0,0,12,100,0,0,"16-22","czerwiec",2020,23,"6C"
"Śląskie",2,0.18,0,0,2,100,0,0,"16-22","czerwiec",2020,23,"6C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","czerwiec",2020,23,"6C"
"Warmińsko-Mazurskie",15,13.16,0,0,15,100,0,0,"16-22","czerwiec",2020,23,"6C"
"Wielkopolskie",13,0.84,0,0,13,100,0,0,"16-22","czerwiec",2020,23,"6C"
"Zachodniopomorskie",2,0.97,100,0,1,50,0,0,"16-22","czerwiec",2020,23,"6C"
"Dolnośląskie",1,0.15,0,0,1,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Kujawsko-Pomorskie",1,0.18,0,0,1,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Lubelskie",3,2.04,0,0,3,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Lubuskie",0,0,0,0,0,0,0,0,"23-30","czerwiec",2020,24,"6D"
"Łódzkie",2,1.53,0,0,2,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Małopolskie",2,0.32,0,0,0,0,2,100,"23-30","czerwiec",2020,24,"6D"
"Mazowieckie",3,0.17,0,0,3,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Opolskie",0,0,0,0,0,0,0,0,"23-30","czerwiec",2020,24,"6D"
"Podkarpackie",0,0,0,0,0,0,0,0,"23-30","czerwiec",2020,24,"6D"
"Podlaskie",0,0,0,0,0,0,0,0,"23-30","czerwiec",2020,24,"6D"
"Pomorskie",12,0.63,0,0,12,100,2,16.7,"23-30","czerwiec",2020,24,"6D"
"Śląskie",1,0.09,0,0,1,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-30","czerwiec",2020,24,"6D"
"Warmińsko-Mazurskie",23,11.5,0,0,23,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Wielkopolskie",9,0.58,0,0,9,100,0,0,"23-30","czerwiec",2020,24,"6D"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"23-30","czerwiec",2020,24,"6D"
"Dolnośląskie",3,0.62,0,0,3,100,0,0,"1-7","lipiec",2020,25,"7A"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Lubelskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Lubuskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Łódzkie",1,0.33,1,100,1,100,0,0,"1-7","lipiec",2020,25,"7A"
"Małopolskie",1,0.26,0,0,1,100,0,0,"1-7","lipiec",2020,25,"7A"
"Mazowieckie",9,0.54,1,11.1,8,88.9,0,0,"1-7","lipiec",2020,25,"7A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Podkarpackie",1,12.5,0,0,1,100,0,0,"1-7","lipiec",2020,25,"7A"
"Podlaskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Pomorskie",30,1.53,8,26.7,30,100,1,3.3,"1-7","lipiec",2020,25,"7A"
"Śląskie",1,0.11,0,0,1,100,0,0,"1-7","lipiec",2020,25,"7A"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Warmińsko-Mazurskie",7,6.67,0,0,7,100,0,0,"1-7","lipiec",2020,25,"7A"
"Wielkopolskie",9,0.73,1,11.1,8,88.9,0,0,"1-7","lipiec",2020,25,"7A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","lipiec",2020,25,"7A"
"Dolnośląskie",4,0.63,0,0,4,100,0,0,"8-15","lipiec",2020,26,"7B"
"Kujawsko-Pomorskie",2,0.31,0,0,2,100,0,0,"8-15","lipiec",2020,26,"7B"
"Lubelskie",1,0.54,0,0,1,100,0,0,"8-15","lipiec",2020,26,"7B"
"Lubuskie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Łódzkie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Małopolskie",2,0.31,0,0,2,100,0,0,"8-15","lipiec",2020,26,"7B"
"Mazowieckie",2,0.12,0,0,2,100,0,0,"8-15","lipiec",2020,26,"7B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Podkarpackie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Pomorskie",17,0.7,0,0,17,100,0,0,"8-15","lipiec",2020,26,"7B"
"Śląskie",1,0.09,0,0,1,100,0,0,"8-15","lipiec",2020,26,"7B"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Warmińsko-Mazurskie",9,7.63,0,0,9,100,0,0,"8-15","lipiec",2020,26,"7B"
"Wielkopolskie",5,0.27,0,0,2,40,3,60,"8-15","lipiec",2020,26,"7B"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"8-15","lipiec",2020,26,"7B"
"Dolnośląskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Kujawsko-Pomorskie",1,0.15,0,0,1,100,0,0,"16-22","lipiec",2020,27,"7C"
"Lubelskie",4,1.61,0,0,4,100,0,0,"16-22","lipiec",2020,27,"7C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Łódzkie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Małopolskie",4,0.82,0,0,2,50,2,50,"16-22","lipiec",2020,27,"7C"
"Mazowieckie",9,0.43,6,66.7,3,33.3,0,0,"16-22","lipiec",2020,27,"7C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Podkarpackie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Podlaskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Pomorskie",18,0.7,0,0,18,100,0,0,"16-22","lipiec",2020,27,"7C"
"Śląskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Warmińsko-Mazurskie",6,3.31,0,0,6,100,0,0,"16-22","lipiec",2020,27,"7C"
"Wielkopolskie",6,0.36,0,0,6,100,0,0,"16-22","lipiec",2020,27,"7C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","lipiec",2020,27,"7C"
"Dolnośląskie",2,0.24,0,0,2,100,0,0,"23-31","lipiec",2020,28,"7D"
"Kujawsko-Pomorskie",4,0.4,0,0,4,100,0,0,"23-31","lipiec",2020,28,"7D"
"Lubelskie",0,0,0,0,0,0,0,0,"23-31","lipiec",2020,28,"7D"
"Lubuskie",0,0,0,0,0,0,0,0,"23-31","lipiec",2020,28,"7D"
"Łódzkie",2,0.47,0,0,2,100,0,0,"23-31","lipiec",2020,28,"7D"
"Małopolskie",3,0.4,0,0,1,33.3,2,66.7,"23-31","lipiec",2020,28,"7D"
"Mazowieckie",6,0.25,5,83.3,1,16.7,1,16.7,"23-31","lipiec",2020,28,"7D"
"Opolskie",0,0,0,0,0,0,0,0,"23-31","lipiec",2020,28,"7D"
"Podkarpackie",1,0.82,0,0,0,0,1,100,"23-31","lipiec",2020,28,"7D"
"Podlaskie",0,0,0,0,0,0,0,0,"23-31","lipiec",2020,28,"7D"
"Pomorskie",10,0.27,0,0,10,100,2,20,"23-31","lipiec",2020,28,"7D"
"Śląskie",1,0.07,0,0,1,100,0,0,"23-31","lipiec",2020,28,"7D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-31","lipiec",2020,28,"7D"
"Warmińsko-Mazurskie",5,2.67,0,0,5,100,0,0,"23-31","lipiec",2020,28,"7D"
"Wielkopolskie",23,0.75,0,0,22,95.7,1,4.3,"23-31","lipiec",2020,28,"7D"
"Zachodniopomorskie",1,0.53,0,0,1,100,0,0,"23-31","lipiec",2020,28,"7D"
"Dolnośląskie",2,0.2,0,0,2,100,0,0,"1-7","sierpień",2020,29,"8A"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Lubelskie",2,0.27,0,0,1,50,1,50,"1-7","sierpień",2020,29,"8A"
"Lubuskie",1,0.61,0,0,1,100,0,0,"1-7","sierpień",2020,29,"8A"
"Łódzkie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Małopolskie",2,0.27,0,0,1,50,1,50,"1-7","sierpień",2020,29,"8A"
"Mazowieckie",8,0.29,1,12.5,7,87.5,1,12.5,"1-7","sierpień",2020,29,"8A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Podkarpackie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Podlaskie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Pomorskie",8,0.23,0,0,8,100,0,0,"1-7","sierpień",2020,29,"8A"
"Śląskie",4,0.29,0,0,4,100,0,0,"1-7","sierpień",2020,29,"8A"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Warmińsko-Mazurskie",11,4.8,0,0,11,100,0,0,"1-7","sierpień",2020,29,"8A"
"Wielkopolskie",9,0.37,0,0,9,100,0,0,"1-7","sierpień",2020,29,"8A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","sierpień",2020,29,"8A"
"Dolnośląskie",1,0.12,0,0,1,100,0,0,"8-15","sierpień",2020,30,"8B"
"Kujawsko-Pomorskie",1,0.09,0,0,1,100,0,0,"8-15","sierpień",2020,30,"8B"
"Lubelskie",2,0.65,0,0,2,100,0,0,"8-15","sierpień",2020,30,"8B"
"Lubuskie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Łódzkie",2,0.39,0,0,2,100,0,0,"8-15","sierpień",2020,30,"8B"
"Małopolskie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Mazowieckie",8,0.33,0,0,6,75,2,25,"8-15","sierpień",2020,30,"8B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Podkarpackie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Pomorskie",5,0.15,0,0,5,100,0,0,"8-15","sierpień",2020,30,"8B"
"Śląskie",1,0.07,0,0,1,100,0,0,"8-15","sierpień",2020,30,"8B"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Warmińsko-Mazurskie",17,6.34,0,0,17,100,0,0,"8-15","sierpień",2020,30,"8B"
"Wielkopolskie",13,0.47,0,0,13,100,0,0,"8-15","sierpień",2020,30,"8B"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"8-15","sierpień",2020,30,"8B"
"Dolnośląskie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Kujawsko-Pomorskie",1,0.07,0,0,1,100,0,0,"16-22","sierpień",2020,31,"8C"
"Lubelskie",14,4.96,0,0,14,100,0,0,"16-22","sierpień",2020,31,"8C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Łódzkie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Małopolskie",2,0.15,0,0,0,0,2,100,"16-22","sierpień",2020,31,"8C"
"Mazowieckie",2,0.15,0,0,0,0,2,100,"16-22","sierpień",2020,31,"8C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Podkarpackie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Podlaskie",1,0.37,0,0,1,100,0,0,"16-22","sierpień",2020,31,"8C"
"Pomorskie",9,0.2,0,0,9,100,0,0,"16-22","sierpień",2020,31,"8C"
"Śląskie",3,0.21,0,0,3,100,0,0,"16-22","sierpień",2020,31,"8C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Warmińsko-Mazurskie",7,2.24,0,0,7,100,0,0,"16-22","sierpień",2020,31,"8C"
"Wielkopolskie",9,0.32,0,0,9,100,0,0,"16-22","sierpień",2020,31,"8C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","sierpień",2020,31,"8C"
"Dolnośląskie",4,0.28,1,25,4,100,0,0,"23-31","sierpień",2020,32,"8D"
"Kujawsko-Pomorskie",1,0.06,0,0,1,100,0,0,"23-31","sierpień",2020,32,"8D"
"Lubelskie",0,0,0,0,0,0,0,0,"23-31","sierpień",2020,32,"8D"
"Lubuskie",0,0,0,0,0,0,0,0,"23-31","sierpień",2020,32,"8D"
"Łódzkie",2,0.15,0,0,2,100,0,0,"23-31","sierpień",2020,32,"8D"
"Małopolskie",2,0.13,0,0,2,100,0,0,"23-31","sierpień",2020,32,"8D"
"Mazowieckie",6,0.14,3,50,3,50,0,0,"23-31","sierpień",2020,32,"8D"
"Opolskie",0,0,0,0,0,0,0,0,"23-31","sierpień",2020,32,"8D"
"Podkarpackie",0,0,0,0,0,0,0,0,"23-31","sierpień",2020,32,"8D"
"Podlaskie",8,0.98,0,0,8,100,0,0,"23-31","sierpień",2020,32,"8D"
"Pomorskie",21,0.39,0,0,21,100,3,14.3,"23-31","sierpień",2020,32,"8D"
"Śląskie",3,0.13,0,0,3,100,0,0,"23-31","sierpień",2020,32,"8D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-31","sierpień",2020,32,"8D"
"Warmińsko-Mazurskie",13,3.89,0,0,13,100,0,0,"23-31","sierpień",2020,32,"8D"
"Wielkopolskie",16,0.34,0,0,14,87.5,2,12.5,"23-31","sierpień",2020,32,"8D"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"23-31","sierpień",2020,32,"8D"
"Dolnośląskie",1,0.07,0,0,1,100,0,0,"1-7","wrzesień",2020,33,"9A"
"Kujawsko-Pomorskie",3,0.15,0,0,3,100,0,0,"1-7","wrzesień",2020,33,"9A"
"Lubelskie",1,0.1,0,0,1,100,0,0,"1-7","wrzesień",2020,33,"9A"
"Lubuskie",0,0,0,0,0,0,0,0,"1-7","wrzesień",2020,33,"9A"
"Łódzkie",0,0,0,0,0,0,0,0,"1-7","wrzesień",2020,33,"9A"
"Małopolskie",8,0.48,0,0,1,12.5,7,87.5,"1-7","wrzesień",2020,33,"9A"
"Mazowieckie",21,0.41,5,23.8,13,61.9,3,14.3,"1-7","wrzesień",2020,33,"9A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","wrzesień",2020,33,"9A"
"Podkarpackie",0,0,0,0,0,0,0,0,"1-7","wrzesień",2020,33,"9A"
"Podlaskie",3,1.2,0,0,3,100,0,0,"1-7","wrzesień",2020,33,"9A"
"Pomorskie",26,0.5,0,0,26,100,5,19.2,"1-7","wrzesień",2020,33,"9A"
"Śląskie",5,0.27,0,0,5,100,0,0,"1-7","wrzesień",2020,33,"9A"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"1-7","wrzesień",2020,33,"9A"
"Warmińsko-Mazurskie",19,2.91,0,0,19,100,0,0,"1-7","wrzesień",2020,33,"9A"
"Wielkopolskie",16,0.36,0,0,14,87.5,2,12.5,"1-7","wrzesień",2020,33,"9A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","wrzesień",2020,33,"9A"
"Dolnośląskie",7,0.23,0,0,7,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Kujawsko-Pomorskie",1,0.02,0,0,1,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Lubelskie",0,0,0,0,0,0,0,0,"8-15","wrzesień",2020,34,"9B"
"Lubuskie",0,0,0,0,0,0,0,0,"8-15","wrzesień",2020,34,"9B"
"Łódzkie",0,0,0,0,0,0,0,0,"8-15","wrzesień",2020,34,"9B"
"Małopolskie",4,0.14,0,0,4,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Mazowieckie",38,0.4,2,5.3,28,73.7,8,21.1,"8-15","wrzesień",2020,34,"9B"
"Opolskie",21,2.64,0,0,21,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Podkarpackie",0,0,0,0,0,0,0,0,"8-15","wrzesień",2020,34,"9B"
"Podlaskie",1,0.16,0,0,1,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Pomorskie",21,0.19,0,0,21,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Śląskie",10,0.22,0,0,10,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"8-15","wrzesień",2020,34,"9B"
"Warmińsko-Mazurskie",20,2.23,0,0,20,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Wielkopolskie",19,0.19,0,0,18,94.7,1,5.3,"8-15","wrzesień",2020,34,"9B"
"Zachodniopomorskie",2,0.24,0,0,2,100,0,0,"8-15","wrzesień",2020,34,"9B"
"Dolnośląskie",9,0.31,0,0,7,77.8,2,22.2,"16-22","wrzesień",2020,35,"9C"
"Kujawsko-Pomorskie",7,0.2,0,0,7,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Lubelskie",4,0.32,0,0,4,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","wrzesień",2020,35,"9C"
"Łódzkie",3,0.17,0,0,3,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Małopolskie",2,0.1,0,0,2,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Mazowieckie",21,0.18,2,9.5,18,85.7,1,4.8,"16-22","wrzesień",2020,35,"9C"
"Opolskie",1,0.13,0,0,1,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Podkarpackie",1,0.25,0,0,1,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Podlaskie",2,0.29,0,0,2,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Pomorskie",12,0.1,0,0,12,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Śląskie",9,0.14,0,0,9,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"16-22","wrzesień",2020,35,"9C"
"Warmińsko-Mazurskie",1,0.1,0,0,1,100,0,0,"16-22","wrzesień",2020,35,"9C"
"Wielkopolskie",20,0.23,0,0,18,90,2,10,"16-22","wrzesień",2020,35,"9C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","wrzesień",2020,35,"9C"
"Dolnośląskie",11,0.35,0,0,9,81.8,2,18.2,"23-30","wrzesień",2020,36,"9D"
"Kujawsko-Pomorskie",8,0.2,0,0,8,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Lubelskie",0,0,0,0,0,0,0,0,"23-30","wrzesień",2020,36,"9D"
"Lubuskie",1,0.15,0,0,1,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Łódzkie",6,0.42,0,0,6,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Małopolskie",8,0.19,0,0,8,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Mazowieckie",19,0.15,1,5.3,18,94.7,0,0,"23-30","wrzesień",2020,36,"9D"
"Opolskie",0,0,0,0,0,0,0,0,"23-30","wrzesień",2020,36,"9D"
"Podkarpackie",4,0.74,0,0,4,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Podlaskie",0,0,0,0,0,0,0,0,"23-30","wrzesień",2020,36,"9D"
"Pomorskie",20,0.19,0,0,20,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Śląskie",2,0.04,0,0,2,100,0,0,"23-30","wrzesień",2020,36,"9D"
"Świętokrzyskie",1,0.15,0,0,1,100,0,0,"23-30","wrzesień",2020,36,"9D"
