"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Zachodniopomorskie",3,0.43,0,0,3,100,0,0,"2021_01D","23_do_31_stycznia_2021"
"Dolnośląskie",6,0.27,0,0,6,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Kujawsko-Pomorskie",3,0.11,0,0,3,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Lubelskie",0,0,0,0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Lubuskie",1,0.21,0,0,1,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Łódzkie",2,0.11,0,0,2,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Małopolskie",1,0.04,0,0,1,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Mazowieckie",12,0.16,0,0,10,83.3,2,16.7,"2021_02A","1_do_7_lutego_2021"
"Opolskie",1,0.21,0,0,1,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Podkarpackie",0,0,0,0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Podlaskie",0,0,0,0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Pomorskie",18,0.21,1,5.6,16,88.9,1,5.6,"2021_02A","1_do_7_lutego_2021"
"Śląskie",3,0.08,0,0,2,66.7,1,33.3,"2021_02A","1_do_7_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Warmińsko-Mazurskie",16,2.32,0,0,16,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Wielkopolskie",8,0.12,0,0,8,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Zachodniopomorskie",2,0.31,0,0,2,100,0,0,"2021_02A","1_do_7_lutego_2021"
"Dolnośląskie",9,0.34,0,0,9,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Kujawsko-Pomorskie",2,0.05,0,0,2,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Lubelskie",1,0.05,0,0,1,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Lubuskie",1,0.27,0,0,1,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Łódzkie",2,0.09,0,0,2,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Małopolskie",10,0.22,0,0,7,70,3,30,"2021_02B","8_do_15_lutego_2021"
"Mazowieckie",11,0.1,1,9.1,9,81.8,1,9.1,"2021_02B","8_do_15_lutego_2021"
"Opolskie",0,0,0,0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Podkarpackie",0,0,0,0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Podlaskie",4,0.33,0,0,4,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Pomorskie",9,0.09,1,11.1,8,88.9,0,0,"2021_02B","8_do_15_lutego_2021"
"Śląskie",1,0.02,0,0,1,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Warmińsko-Mazurskie",24,2.42,0,0,24,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Wielkopolskie",14,0.18,0,0,14,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Zachodniopomorskie",2,0.34,0,0,2,100,0,0,"2021_02B","8_do_15_lutego_2021"
"Dolnośląskie",4,0.14,0,0,4,100,0,0,"2021_02C","16_do_22_lutego_2021"
