"woj","suma","w_0.4","w_5_14","w_15_64","w_65","tydz","data"
"Śląskie",0,0,0,0,0,"2011_02C","16_do_22_lutego_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_02C","16_do_22_lutego_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_02C","16_do_22_lutego_2011"
"Wielkopolskie",2,0,0,2,0,"2011_02C","16_do_22_lutego_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_02C","16_do_22_lutego_2011"
"Dolnośląskie",3,0,0,2,1,"2011_02D","23_do_28_lutego_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Lubelskie",1,0,0,1,0,"2011_02D","23_do_28_lutego_2011"
"Lubuskie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Łódzkie",1,0,1,0,0,"2011_02D","23_do_28_lutego_2011"
"Małopolskie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Mazowieckie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Opolskie",1,0,0,1,0,"2011_02D","23_do_28_lutego_2011"
"Podkarpackie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Podlaskie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Pomorskie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Śląskie",6,0,0,4,2,"2011_02D","23_do_28_lutego_2011"
"Świętokrzyskie",1,0,0,1,0,"2011_02D","23_do_28_lutego_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_02D","23_do_28_lutego_2011"
"Wielkopolskie",1,0,1,0,0,"2011_02D","23_do_28_lutego_2011"
"Zachodniopomorskie",1,0,0,1,0,"2011_02D","23_do_28_lutego_2011"
"Dolnośląskie",2,0,0,2,0,"2011_03A","1_do_7_marca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Lubelskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Lubuskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Łódzkie",1,0,0,1,0,"2011_03A","1_do_7_marca_2011"
"Małopolskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Mazowieckie",1,0,0,1,0,"2011_03A","1_do_7_marca_2011"
"Opolskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Podkarpackie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Podlaskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Pomorskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Śląskie",1,0,0,1,0,"2011_03A","1_do_7_marca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_03A","1_do_7_marca_2011"
"Wielkopolskie",1,0,0,1,0,"2011_03A","1_do_7_marca_2011"
"Zachodniopomorskie",1,0,0,1,0,"2011_03A","1_do_7_marca_2011"
"Dolnośląskie",1,0,0,0,1,"2011_03B","8_do_15_marca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Lubelskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Lubuskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Łódzkie",1,0,0,1,0,"2011_03B","8_do_15_marca_2011"
"Małopolskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Mazowieckie",1,0,0,1,0,"2011_03B","8_do_15_marca_2011"
"Opolskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Podkarpackie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Podlaskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Pomorskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Śląskie",3,0,0,3,0,"2011_03B","8_do_15_marca_2011"
"Świętokrzyskie",1,0,0,1,0,"2011_03B","8_do_15_marca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_03B","8_do_15_marca_2011"
"Dolnośląskie",3,0,0,3,0,"2011_03C","16_do_22_marca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Lubelskie",1,0,0,1,0,"2011_03C","16_do_22_marca_2011"
"Lubuskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Łódzkie",1,0,0,1,0,"2011_03C","16_do_22_marca_2011"
"Małopolskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Mazowieckie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Opolskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Podkarpackie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Podlaskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Pomorskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Śląskie",2,0,0,2,0,"2011_03C","16_do_22_marca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Wielkopolskie",1,0,0,1,0,"2011_03C","16_do_22_marca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_03C","16_do_22_marca_2011"
"Dolnośląskie",1,0,0,1,0,"2011_03D","23_do_31_marca_2011"
"Kujawsko-Pomorskie",1,0,0,1,0,"2011_03D","23_do_31_marca_2011"
"Lubelskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Lubuskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Łódzkie",1,0,0,0,1,"2011_03D","23_do_31_marca_2011"
"Małopolskie",1,0,0,1,0,"2011_03D","23_do_31_marca_2011"
"Mazowieckie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Opolskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Podkarpackie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Podlaskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Pomorskie",1,0,0,1,0,"2011_03D","23_do_31_marca_2011"
"Śląskie",4,0,0,4,0,"2011_03D","23_do_31_marca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Wielkopolskie",3,0,0,3,0,"2011_03D","23_do_31_marca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_03D","23_do_31_marca_2011"
"Dolnośląskie",4,0,0,4,0,"2011_04A","1_do_7_kwietnia_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Lubelskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Lubuskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Łódzkie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Małopolskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Mazowieckie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Opolskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Podkarpackie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Podlaskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Pomorskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Śląskie",2,0,0,2,0,"2011_04A","1_do_7_kwietnia_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Wielkopolskie",2,0,0,1,1,"2011_04A","1_do_7_kwietnia_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_04A","1_do_7_kwietnia_2011"
"Dolnośląskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Lubelskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Lubuskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Łódzkie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Małopolskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Mazowieckie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Opolskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Podkarpackie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Podlaskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Pomorskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Śląskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Wielkopolskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_04B","8_do_15_kwietnia_2011"
"Dolnośląskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Lubelskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Lubuskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Łódzkie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Małopolskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Mazowieckie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Opolskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Podkarpackie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Podlaskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Pomorskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Śląskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Wielkopolskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_04C","16_do_22_kwietnia_2011"
"Dolnośląskie",1,0,0,1,0,"2011_04D","23_do_30_kwietnia_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Lubelskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Lubuskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Łódzkie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Małopolskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Mazowieckie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Opolskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Podkarpackie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Podlaskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Pomorskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Śląskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Wielkopolskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_04D","23_do_30_kwietnia_2011"
"Dolnośląskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Lubelskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Lubuskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Łódzkie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Małopolskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Mazowieckie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Opolskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Podkarpackie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Podlaskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Pomorskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Śląskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Wielkopolskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_05A","1_do_7_maja_2011"
"Dolnośląskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Lubelskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Lubuskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Łódzkie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Małopolskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Mazowieckie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Opolskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Podkarpackie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Podlaskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Pomorskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Śląskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Wielkopolskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_05B","8_do_15_maja_2011"
"Dolnośląskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Lubelskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Lubuskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Łódzkie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Małopolskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Mazowieckie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Opolskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Podkarpackie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Podlaskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Pomorskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Śląskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Wielkopolskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_05C","16_do_22_maja_2011"
"Dolnośląskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Lubelskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Lubuskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Łódzkie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Małopolskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Mazowieckie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Opolskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Podkarpackie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Podlaskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Pomorskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Śląskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Wielkopolskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_05D","23_do_31_maja_2011"
"Dolnośląskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Lubelskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Lubuskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Łódzkie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Małopolskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Mazowieckie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Opolskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Podkarpackie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Podlaskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Pomorskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Śląskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_06A","1_do_7_czerwca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Lubelskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Lubuskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Łódzkie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Małopolskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Mazowieckie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Opolskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Podkarpackie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Podlaskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Pomorskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Śląskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_06B","8_do_15_czerwca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Lubelskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Lubuskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Łódzkie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Małopolskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Mazowieckie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Opolskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Podkarpackie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Podlaskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Pomorskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Śląskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_06C","16_do_22_czerwca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Lubelskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Lubuskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Łódzkie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Małopolskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Mazowieckie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Opolskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Podkarpackie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Podlaskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Pomorskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Śląskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_06D","23_do_30_czerwca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Lubelskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Lubuskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Łódzkie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Małopolskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Mazowieckie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Opolskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Podkarpackie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Podlaskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Pomorskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Śląskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_07A","1_do_7_lipca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Lubelskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Lubuskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Łódzkie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Małopolskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Mazowieckie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Opolskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Podkarpackie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Podlaskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Pomorskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Śląskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_07B","8_do_15_lipca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Lubelskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Lubuskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Łódzkie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Małopolskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Mazowieckie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Opolskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Podkarpackie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Podlaskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Pomorskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Śląskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_07C","16_do_22_lipca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Kujawsko-Pomorskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Lubelskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Lubuskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Łódzkie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Małopolskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Mazowieckie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Opolskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Podkarpackie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Podlaskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Pomorskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Śląskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Świętokrzyskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Warmińsko-Mazurskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Wielkopolskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Zachodniopomorskie",0,0,0,0,0,"2011_07D","23_do_31_lipca_2011"
"Dolnośląskie",0,0,0,0,0,"2011_08A","1_do_7_sierpnia_2011"
