"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Dolnośląskie",28,0.55,0,0,28,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Kujawsko-Pomorskie",33,0.66,0,0,33,100,1,3,"2020_01A","1_do_7_stycznia_2020"
"Lubelskie",12,0.4,0,0,12,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Lubuskie",8,0.9,0,0,8,100,4,50,"2020_01A","1_do_7_stycznia_2020"
"Łódzkie",7,0.19,0,0,7,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Małopolskie",22,0.25,0,0,18,81.8,4,18.2,"2020_01A","1_do_7_stycznia_2020"
"Mazowieckie",56,0.32,2,3.6,53,94.6,2,3.6,"2020_01A","1_do_7_stycznia_2020"
"Opolskie",3,0.36,0,0,3,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Podkarpackie",5,0.32,0,0,5,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Podlaskie",5,0.37,0,0,5,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Pomorskie",59,0.42,3,5.1,59,100,9,15.3,"2020_01A","1_do_7_stycznia_2020"
"Śląskie",27,0.35,5,18.5,27,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Świętokrzyskie",2,0.14,0,0,2,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Warmińsko-Mazurskie",8,0.52,0,0,8,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Wielkopolskie",101,0.72,0,0,101,100,1,1,"2020_01A","1_do_7_stycznia_2020"
"Zachodniopomorskie",17,0.7,0,0,17,100,0,0,"2020_01A","1_do_7_stycznia_2020"
"Dolnośląskie",29,0.44,0,0,27,93.1,5,17.2,"2020_01B","8_do_15_stycznia_2020"
"Kujawsko-Pomorskie",38,0.53,0,0,38,100,1,2.6,"2020_01B","8_do_15_stycznia_2020"
"Lubelskie",25,0.55,0,0,25,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Lubuskie",8,0.62,0,0,7,87.5,1,12.5,"2020_01B","8_do_15_stycznia_2020"
"Łódzkie",27,0.52,0,0,27,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Małopolskie",55,0.39,0,0,47,85.5,12,21.8,"2020_01B","8_do_15_stycznia_2020"
"Mazowieckie",64,0.33,11,17.2,52,81.3,2,3.1,"2020_01B","8_do_15_stycznia_2020"
"Opolskie",2,0.16,0,0,2,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Podkarpackie",19,0.65,2,10.5,17,89.5,1,5.3,"2020_01B","8_do_15_stycznia_2020"
"Podlaskie",7,0.27,0,0,7,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Pomorskie",65,0.34,7,10.8,61,93.8,5,7.7,"2020_01B","8_do_15_stycznia_2020"
"Śląskie",26,0.28,1,3.8,26,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Świętokrzyskie",5,0.17,1,20,4,80,0,0,"2020_01B","8_do_15_stycznia_2020"
"Warmińsko-Mazurskie",15,0.69,0,0,15,100,0,0,"2020_01B","8_do_15_stycznia_2020"
"Wielkopolskie",94,0.44,2,2.1,89,94.7,5,5.3,"2020_01B","8_do_15_stycznia_2020"
"Zachodniopomorskie",19,0.87,0,0,19,100,1,5.3,"2020_01B","8_do_15_stycznia_2020"
"Dolnośląskie",47,0.58,1,2.1,46,97.9,1,2.1,"2020_01C","16_do_22_stycznia_2020"
"Kujawsko-Pomorskie",48,0.66,0,0,40,83.3,8,16.7,"2020_01C","16_do_22_stycznia_2020"
"Lubelskie",37,1.03,0,0,37,100,1,2.7,"2020_01C","16_do_22_stycznia_2020"
"Lubuskie",3,0.21,0,0,3,100,2,66.7,"2020_01C","16_do_22_stycznia_2020"
"Łódzkie",19,0.37,0,0,19,100,0,0,"2020_01C","16_do_22_stycznia_2020"
"Małopolskie",67,0.4,1,1.5,42,62.7,31,46.3,"2020_01C","16_do_22_stycznia_2020"
